  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -90.0 360 142.34   .02 10.4   .01  9.9     .0   .0 12.0   .0 12.0     .0   .0 12.0   .0 12.0
  30 -90.0 351 142.34   .02 11.0   .01 10.5     .0   .0 12.6   .0   .6     .0   .0 12.6   .0   .6
  30 -90.0 342 142.34   .02 11.6   .01 11.1     .0   .0 13.2   .0  1.2     .0   .0 13.2   .0  1.2
  30 -90.0 333 142.34   .02 12.2   .01 11.7     .0   .0 13.8   .0  1.8     .0   .0 13.8   .0  1.8
  30 -90.0 324 142.34   .02 12.8   .01   .3     .0   .0 14.4   .0  2.4     .0   .0 14.4   .0  2.4
  30 -90.0 315 142.34   .02 13.4   .01   .9     .0   .0 15.0   .0  3.0     .0   .0 15.0   .0  3.0
  30 -90.0 306 142.34   .02 14.0   .01  1.5     .0   .0 15.6   .0  3.6     .0   .0 15.6   .0  3.6
  30 -90.0 297 142.34   .02 14.6   .01  2.1     .0   .0 16.2   .0  4.2     .0   .0 16.2   .0  4.2
  30 -90.0 288 142.34   .02 15.2   .01  2.7     .0   .0 16.8   .0  4.8     .0   .0 16.8   .0  4.8
  30 -90.0 279 142.34   .02 15.8   .01  3.3     .0   .0 17.4   .0  5.4     .0   .0 17.4   .0  5.4
  30 -90.0 270 142.34   .02 16.4   .01  3.9     .0   .0 18.0   .0  6.0     .0   .0 18.0   .0  6.0
  30 -90.0 261 142.34   .02 17.0   .01  4.5     .0   .0 18.6   .0  6.6     .0   .0 18.6   .0  6.6
  30 -90.0 252 142.34   .02 17.6   .01  5.1     .0   .0 19.2   .0  7.2     .0   .0 19.2   .0  7.2
  30 -90.0 243 142.34   .02 18.2   .01  5.7     .0   .0 19.8   .0  7.8     .0   .0 19.8   .0  7.8
  30 -90.0 234 142.34   .02 18.8   .01  6.3     .0   .0 20.4   .0  8.4     .0   .0 20.4   .0  8.4
  30 -90.0 225 142.34   .02 19.4   .01  6.9     .0   .0 21.0   .0  9.0     .0   .0 21.0   .0  9.0
  30 -90.0 216 142.34   .02 20.0   .01  7.5     .0   .0 21.6   .0  9.6     .0   .0 21.6   .0  9.6
  30 -90.0 207 142.34   .02 20.6   .01  8.1     .0   .0 22.2   .0 10.2     .0   .0 22.2   .0 10.2
  30 -90.0 198 142.34   .02 21.2   .01  8.7     .0   .0 22.8   .0 10.8     .0   .0 22.8   .0 10.8
  30 -90.0 189 142.34   .02 21.8   .01  9.3     .0   .0 23.4   .0 11.4     .0   .0 23.4   .0 11.4
  30 -90.0 180 142.34   .02 22.4   .01  9.9     .0   .0   .0   .0   .0     .0   .0   .0   .0   .0
  30 -90.0 171 142.34   .02 23.0   .01 10.5     .0   .0   .6   .0   .6     .0   .0   .6   .0   .6
  30 -90.0 162 142.34   .02 23.6   .01 11.1     .0   .0  1.2   .0  1.2     .0   .0  1.2   .0  1.2
  30 -90.0 153 142.34   .02   .2   .01 11.7     .0   .0  1.8   .0  1.8     .0   .0  1.8   .0  1.8
  30 -90.0 144 142.34   .02   .8   .01   .3     .0   .0  2.4   .0  2.4     .0   .0  2.4   .0  2.4
  30 -90.0 135 142.34   .02  1.4   .01   .9     .0   .0  3.0   .0  3.0     .0   .0  3.0   .0  3.0
  30 -90.0 126 142.34   .02  2.0   .01  1.5     .0   .0  3.6   .0  3.6     .0   .0  3.6   .0  3.6
  30 -90.0 117 142.34   .02  2.6   .01  2.1     .0   .0  4.2   .0  4.2     .0   .0  4.2   .0  4.2
  30 -90.0 108 142.34   .02  3.2   .01  2.7     .0   .0  4.8   .0  4.8     .0   .0  4.8   .0  4.8
  30 -90.0  99 142.34   .02  3.8   .01  3.3     .0   .0  5.4   .0  5.4     .0   .0  5.4   .0  5.4
  30 -90.0  90 142.34   .02  4.4   .01  3.9     .0   .0  6.0   .0  6.0     .0   .0  6.0   .0  6.0
  30 -90.0  81 142.34   .02  5.0   .01  4.5     .0   .0  6.6   .0  6.6     .0   .0  6.6   .0  6.6
  30 -90.0  72 142.34   .02  5.6   .01  5.1     .0   .0  7.2   .0  7.2     .0   .0  7.2   .0  7.2
  30 -90.0  63 142.34   .02  6.2   .01  5.7     .0   .0  7.8   .0  7.8     .0   .0  7.8   .0  7.8
  30 -90.0  54 142.34   .02  6.8   .01  6.3     .0   .0  8.4   .0  8.4     .0   .0  8.4   .0  8.4
  30 -90.0  45 142.34   .02  7.4   .01  6.9     .0   .0  9.0   .0  9.0     .0   .0  9.0   .0  9.0
  30 -90.0  36 142.34   .02  8.0   .01  7.5     .0   .0  9.6   .0  9.6     .0   .0  9.6   .0  9.6
  30 -90.0  27 142.34   .02  8.6   .01  8.1     .0   .0 10.2   .0 10.2     .0   .0 10.2   .0 10.2
  30 -90.0  18 142.34   .02  9.2   .01  8.7     .0   .0 10.8   .0 10.8     .0   .0 10.8   .0 10.8
  30 -90.0   9 142.34   .02  9.8   .01  9.3     .0   .0 11.4   .0 11.4     .0   .0 11.4   .0 11.4
  30 -82.5 360 143.03   .05 13.3   .03  8.0    1.4  1.1  8.5  2.2   .2    3.8  2.9 11.3  1.9  4.5
  30 -82.5 351 143.05   .01  9.8   .03  8.8    -.1   .8   .2  1.4   .6    2.5  2.0  9.4   .9  3.5
  30 -82.5 342 143.10   .03 12.4   .03  9.2    -.5  1.3   .2  2.0  2.7    2.7  2.7 12.4  2.3  5.3
  30 -82.5 333 143.12   .00  5.9   .01  9.6    -.7  2.2  1.1  1.4  2.7     .9   .4 22.3  1.4  6.5
  30 -82.5 324 143.17   .04 11.2   .01   .2    1.0  1.3  1.9  2.1  2.7    1.4  2.3  8.3  1.8  5.4
  30 -82.5 315 143.25   .03 13.6   .02  1.2    2.7  1.6 21.7  2.3  4.1    3.8  2.1 16.7  2.8  7.0
  30 -82.5 306 143.35   .03 14.9   .04  1.1    2.4  1.1  4.0  2.1  3.0    6.6  2.4 18.4  1.5  6.5
  30 -82.5 297 143.37   .04  8.4   .03  3.0     .3  3.3  5.6  2.3  4.1    6.7  1.5 12.4  2.1  6.8
  30 -82.5 288 143.33   .02  8.3   .02  1.3   -1.4  3.7  5.6   .7  4.8    5.6  2.1 10.0  1.3  8.1
  30 -82.5 279 143.27   .02 12.1   .02  1.4   -3.2  2.6  6.2  1.1  5.0    3.4  1.5 10.1  1.2  8.5
  30 -82.5 270 143.26   .02 14.6   .03  2.8   -3.3  2.9  4.8  1.5  6.3    2.4  2.8  8.4  1.7  9.2
  30 -82.5 261 143.28   .03 18.9   .03  2.4   -4.0  2.3  4.8   .4  7.1    1.1  1.6  9.6  1.1 10.2
  30 -82.5 252 143.37   .02 21.3   .02  6.0   -3.6  1.1  7.1  1.3  7.3     .8   .8 16.2  1.4 10.4
  30 -82.5 243 143.40   .02 19.8   .01  6.7   -3.1  1.6  9.1  1.3  8.5     .6  1.4 14.0  1.4 11.3
  30 -82.5 234 143.39   .04 19.8   .02  6.4   -2.8  1.1  5.5  1.6  8.5     .4   .4 23.4  1.7 11.1
  30 -82.5 225 143.35   .02 18.8   .01  7.4   -2.9  1.8  6.6   .9  9.6     .4   .6 10.8  1.2   .2
  30 -82.5 216 143.30   .00 16.9   .00  9.0   -3.2  1.8  8.1  1.0  9.3    -.8  1.5 10.4  1.3   .6
  30 -82.5 207 143.27   .04 19.9   .01  6.7   -2.3  1.2  9.0  1.8  9.9   -1.0   .4 12.0  1.8   .7
  30 -82.5 198 143.24   .03 21.6   .01 11.3   -2.0  1.8  8.8   .9 10.7    -.8  1.4 10.6  1.2  1.5
  30 -82.5 189 143.19   .04 18.9   .01  4.0   -1.8  1.1 10.9  1.0 10.4   -1.8  1.3 10.6  1.2  1.9
  30 -82.5 180 143.15   .04 21.0   .01  9.0    -.1   .7 13.2  1.5 11.2     .1  1.1 14.3  1.4  2.1
  30 -82.5 171 143.08   .04 22.4   .02 10.4    -.1   .7 13.2  1.5 11.4    -.2   .8 16.7  1.5  2.4
  30 -82.5 162 143.11   .04   .0   .02 11.2     .1   .8  9.8  1.5 11.4     .9  1.7 12.3  1.3  2.7
  30 -82.5 153 143.20   .04   .9   .01 10.6    -.7   .6 17.1   .9 11.1     .1  1.6 16.9   .7  2.3
  30 -82.5 144 143.29   .04  1.4   .00 11.3    -.7   .2  2.3  1.2   .5    -.5   .4 20.8  1.3  3.7
  30 -82.5 135 143.33   .04  3.4   .02  6.2    -.4   .2 10.4  1.6 11.1    -.7   .6 14.4   .9  1.8
  30 -82.5 126 143.32   .04  2.0   .01  3.7    -.1   .3  4.0   .9   .1   -1.1   .9 20.0   .8  2.4
  30 -82.5 117 143.33   .04  3.5   .02  4.1     .5  1.2  4.4   .4 11.9    -.8  1.8  6.0   .3  3.4
  30 -82.5 108 143.36   .04  6.5   .02  7.7     .5   .6 16.5   .7   .5    -.1   .1 12.3   .4  3.9
  30 -82.5  99 143.42   .03  5.1   .02  7.5     .1   .4 14.3   .6 11.5   -1.0   .3  1.0   .3  1.5
  30 -82.5  90 143.52   .03  6.3   .02  3.7     .8   .6 11.4   .9 11.4    -.9   .8 13.0  1.2  1.0
  30 -82.5  81 143.51   .03  4.3   .01  4.7    1.0   .2 17.2   .7 11.9    -.7   .3 16.8  1.3  2.9
