  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2
 030 -90.0  360 145.76    .00 13.2    .00  3.6
 030 -90.0  351 145.76    .00 16.8    .00  3.8
 030 -90.0  342 145.76    .00 -3.9    .00  4.1
 030 -90.0  333 145.76    .00 -2.1    .00  4.5
 030 -90.0  324 145.76    .00  -.8    .00  4.9
 030 -90.0  315 145.76    .00   .2    .00  5.4
 030 -90.0  306 145.76    .00   .8    .00  6.1
 030 -90.0  297 145.76    .00   .8    .00  6.9
 030 -90.0  288 145.76    .00 -1.0    .00  7.6
 030 -90.0  279 145.76    .00 21.4    .00  8.5
 030 -90.0  270 145.76    .00 21.9    .00  9.4
 030 -90.0  261 145.76    .00 22.9    .00 10.2
 030 -90.0  252 145.76    .00 23.7    .00 10.8
 030 -90.0  243 145.76    .00   .4    .00 11.1
 030 -90.0  234 145.76    .00  1.1    .00 10.7
 030 -90.0  225 145.76    .00  1.6    .00 10.5
 030 -90.0  216 145.76    .00  2.2    .00 11.1
 030 -90.0  207 145.76    .00  3.3    .00   .1
 030 -90.0  198 145.76    .00  4.7    .00  1.1
 030 -90.0  189 145.76    .00  5.9    .00  1.5
 030 -90.0  180 145.76    .00  5.0    .00  1.6
 030 -90.0  171 145.76    .00  3.5    .00  2.2
 030 -90.0  162 145.76    .00  4.6    .00  3.0
 030 -90.0  153 145.76    .00  6.7    .00  4.4
 030 -90.0  144 145.76    .00  8.9    .00  6.2
 030 -90.0  135 145.76    .00 11.1    .00  8.0
 030 -90.0  126 145.76    .00 10.9    .00  9.4
 030 -90.0  117 145.76    .00 10.3    .00 10.3
 030 -90.0  108 145.76    .00 11.2    .00 10.9
 030 -90.0   99 145.76    .00 12.0    .00 11.2
 030 -90.0   90 145.76    .00 12.3    .00 11.3
 030 -90.0   81 145.76    .00 14.1    .00 11.4
 030 -90.0   72 145.76    .00 17.7    .00 11.7
 030 -90.0   63 145.76    .00 19.7    .00 11.8
 030 -90.0   54 145.76    .00 20.9    .00 12.0
 030 -90.0   45 145.76    .00 22.2    .00   .5
 030 -90.0   36 145.76    .00 23.1    .00  1.2
 030 -90.0   27 145.76    .00 23.7    .00  2.0
 030 -90.0   18 145.76    .00   .4    .00  2.8
 030 -90.0    9 145.76    .00  2.1    .00  3.4
 030 -82.5  360 145.80    .00 13.2    .01  3.6
 030 -82.5  351 145.75    .00 16.8    .01  3.8
 030 -82.5  342 145.77    .00 -3.9    .01  4.1
 030 -82.5  333 145.87    .01 -2.1    .01  4.5
 030 -82.5  324 145.95    .01  -.8    .01  4.9
 030 -82.5  315 145.97    .01   .2    .02  5.4
 030 -82.5  306 145.97    .01   .8    .02  6.1
 030 -82.5  297 145.97    .01   .8    .02  6.9
 030 -82.5  288 145.99    .00 -1.0    .02  7.6
 030 -82.5  279 146.06    .01 21.4    .01  8.5
 030 -82.5  270 146.17    .01 21.9    .01  9.4
 030 -82.5  261 146.17    .01 22.9    .01 10.2
 030 -82.5  252 146.07    .02 23.7    .01 10.8
 030 -82.5  243 146.02    .02   .4    .00 11.1
 030 -82.5  234 145.99    .02  1.1    .00 10.7
 030 -82.5  225 145.93    .02  1.6    .00 10.5
 030 -82.5  216 145.87    .02  2.2    .01 11.1
 030 -82.5  207 145.84    .02  3.3    .01   .1
 030 -82.5  198 145.82    .02  4.7    .01  1.1
 030 -82.5  189 145.82    .01  5.9    .01  1.5
 030 -82.5  180 145.84    .01  5.0    .01  1.6
 030 -82.5  171 145.86    .01  3.5    .01  2.2
 030 -82.5  162 145.89    .02  4.6    .01  3.0
 030 -82.5  153 145.91    .02  6.7    .01  4.4
 030 -82.5  144 145.92    .01  8.9    .01  6.2
 030 -82.5  135 145.95    .01 11.1    .01  8.0
 030 -82.5  126 146.02    .00 10.9    .01  9.4
 030 -82.5  117 146.07    .01 10.3    .01 10.3
 030 -82.5  108 146.06    .01 11.2    .01 10.9
 030 -82.5   99 146.03    .01 12.0    .01 11.2
 030 -82.5   90 146.00    .00 12.3    .01 11.3
 030 -82.5   81 146.01    .00 14.1    .01 11.4
 030 -82.5   72 146.06    .00 17.7    .01 11.7
 030 -82.5   63 146.08    .01 19.7    .01 11.8
 030 -82.5   54 146.06    .01 20.9    .01 12.0
 030 -82.5   45 146.02    .01 22.2    .01   .5
 030 -82.5   36 145.97    .01 23.1    .01  1.2
 030 -82.5   27 145.93    .01 23.7    .01  2.0
 030 -82.5   18 145.90    .00   .4    .01  2.8
 030 -82.5    9 145.86    .00  2.1    .01  3.4
 030 -75.0  360 146.37    .03  3.2    .01  2.8
 030 -75.0  351 146.33    .03  3.9    .01  3.4
 030 -75.0  342 146.36    .02  4.1    .01  4.1
 030 -75.0  333 146.44    .02  3.1    .01  4.7
 030 -75.0  324 146.48    .02  2.2    .01  4.9
 030 -75.0  315 146.45    .02  2.7    .01  5.2
 030 -75.0  306 146.46    .02  4.0    .01  5.8
 030 -75.0  297 146.51    .01  6.0    .01  6.4
 030 -75.0  288 146.56    .00  7.8    .01  6.3
 030 -75.0  279 146.58    .01 21.0    .00  5.5
 030 -75.0  270 146.58    .02 22.1    .00  4.9
 030 -75.0  261 146.55    .02 23.5    .01  5.6
 030 -75.0  252 146.59    .02  1.4    .01  7.0
