  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30 225 -82.50   17.0 302.0 16.0    .7 12.7  -18.2 340.3 22.1    .3 15.1
  30 230 -82.50   17.0 302.0 16.0    .7 12.7  -18.2 340.3 22.1    .3 15.1
  30 235 -82.50   17.0 302.0 16.0    .7 12.7  -18.2 340.3 22.1    .3 15.1
  30 240 -82.50   17.0 302.0 16.0    .7 12.7  -18.2 340.3 22.1    .3 15.1
  30  80 -77.50   82.2  18.3 18.3  15.2 21.2   -8.2  22.7 24.0  16.4 11.8
  30  85 -77.50   86.8  38.3 18.3  16.0 21.2   -7.6  46.4 24.0  17.4 11.8
  30  90 -77.50   88.3  49.6 17.9  14.8 19.9    1.5  63.2 23.5  18.3 22.9
  30  95 -77.50   97.9  55.5 16.7  17.1 19.4    9.4  84.4 22.6  20.8 22.8
  30 100 -77.50  113.0  75.5 16.0  20.9 19.7   -3.7 127.4 22.2  24.7 22.7
  30 105 -77.50  113.2 101.1 16.3  29.4 20.1  -32.7 174.1 22.3  29.0 22.8
  30 110 -77.50   97.9 122.1 16.9  37.6 20.4  -49.7 212.7 22.6  30.3 11.0
  30 115 -77.50   79.1 138.4 17.2  38.4 14.5  -49.7 242.3 22.6  25.9 11.2
  30 120 -77.50   65.4 152.9 17.3  34.3 14.3  -41.2 261.5 22.6  19.4 11.1
  30 125 -77.50   56.2 165.5 17.3  29.7 13.9  -32.4 271.4 22.5  13.9 22.6
  30 130 -77.50   49.8 175.0 17.2  26.3 13.3  -25.2 275.6 22.4  10.5 21.7
  30 135 -77.50   45.2 181.5 17.1  24.5 18.7  -19.8 277.1 22.4   8.9 20.8
  30 140 -77.50   41.9 185.7 17.0  23.4 18.3  -15.9 277.4 22.3   8.7 20.3
  30 145 -77.50   39.5 188.4 16.9  22.7 18.1  -13.1 277.3 22.3   9.2 19.9
  30 150 -77.50   37.9 190.0 16.8  22.1 17.9  -11.0 277.1 22.3  10.0 19.8
  30 155 -77.50   36.7 191.1 16.7  21.6 17.9   -9.4 276.9 22.3  10.8 19.8
  30 160 -77.50   35.8 191.7 16.6  21.2 18.1   -8.1 276.7 22.3  11.4 14.0
  30 165 -77.50   35.3 192.1 16.5  21.0 12.8   -7.2 276.6 22.2  11.9 14.6
  30 170 -77.50   34.8 192.4 16.5  21.0 13.5   -6.4 276.5 22.2  12.4 15.3
  30 175 -77.50   34.5 192.5 16.4  21.0 13.8   -5.7 276.5 22.2  12.7 15.6
  30 180 -77.50   34.3 192.6 16.4  21.0 13.9   -5.2 276.5 22.3  13.0 15.7
  30 185 -77.50   34.1 192.7 16.4  20.9 13.9   -4.8 276.4 22.3  13.2 15.7
  30 190 -77.50   34.0 192.7 16.4  20.9 13.9   -4.5 276.4 22.3  13.3 15.7
  30 195 -77.50   33.9 192.7 16.4  20.8 13.9   -4.3 276.4 22.3  13.5 15.8
  30 200 -77.50   33.9 192.7 16.3  20.7 13.9   -4.1 276.4 22.3  13.6 15.8
  30 205 -77.50   33.8 192.7 16.3  20.6 13.9   -4.0 276.4 22.3  13.6 15.8
  30 210 -77.50   33.8 192.7 16.3  20.6 13.9   -3.9 276.4 22.3  13.6 15.8
  30 215 -77.50   33.8 192.7 16.3  20.6 13.9   -3.8 276.4 22.3  13.6 15.8
  30 220 -77.50   33.8 192.7 16.3  20.6 13.9   -3.8 276.4 22.3  13.6 15.8
  30 225 -77.50   33.8 192.7 16.3  20.6 13.9   -3.8 276.4 22.3  13.6 15.8
  30 230 -77.50   33.8 192.7 16.3  20.6 13.9   -3.8 276.4 22.3  13.6 15.8
  30 235 -77.50   33.8 192.7 16.3  20.6 13.9   -3.8 276.4 22.3  13.6 15.8
  30 240 -77.50   33.8 192.7 16.3  20.6 13.9   -3.8 276.4 22.3  13.6 15.8
  30  80 -72.50   91.3   9.7 18.9  37.8 20.1   -9.6  19.9 24.3  42.7 22.9
  30  85 -72.50   95.8  26.4 18.9  39.9 20.1   -9.6  42.1 24.3  43.7 22.9
  30  90 -72.50   97.9  38.1 18.9  35.3 19.2   -2.6  58.5 24.2  43.6 21.9
  30  95 -72.50  107.0  37.2 18.2  35.7 18.1    3.2  72.5 23.4  46.1 20.9
  30 100 -72.50  118.8  46.6 17.5  41.0 17.5   -5.7 107.2 22.9  47.5 20.2
  30 105 -72.50  118.7  62.0 17.8  49.2 17.4  -33.5 148.3 22.9  46.9 19.9
  30 110 -72.50  102.1  72.5 18.4  59.8 17.4  -55.6 178.5 23.0  45.0 20.2
  30 115 -72.50   82.6  79.2 18.6  65.2 17.2  -61.6 198.0 22.9  42.6 20.4
  30 120 -72.50   68.0  85.1 18.5  65.4 16.9  -57.8 211.0 22.8  38.2 20.3
  30 125 -72.50   59.1  91.2 18.3  63.4 16.5  -49.8 218.5 22.6  32.1 20.1
  30 130 -72.50   53.7  96.7 18.1  61.5 16.2  -41.3 222.2 22.5  25.9 19.6
  30 135 -72.50   49.9 100.9 17.8  60.4 15.9  -33.8 223.7 22.5  21.6 19.0
  30 140 -72.50   47.1 103.8 17.7  60.0 15.7  -27.4 224.1 22.4  19.7 18.3
  30 145 -72.50   45.1 105.7 17.5  60.0 15.6  -22.4 224.1 22.4  19.7 17.8
  30 150 -72.50   43.6 106.9 17.4  60.1 15.4  -18.3 224.1 22.4  20.4 17.4
  30 155 -72.50   42.5 107.6 17.3  60.3 15.3  -15.2 224.2 22.4  21.4 17.1
  30 160 -72.50   41.7 107.9 17.2  60.4 15.3  -12.7 224.3 22.4  22.3 16.9
  30 165 -72.50   41.1 108.2 17.2  60.4 15.2  -10.8 224.5 22.5  22.9 16.8
  30 170 -72.50   40.7 108.3 17.1  60.4 15.2   -9.4 224.8 22.5  23.5 16.7
  30 175 -72.50   40.4 108.3 17.0  60.4 15.2   -8.1 225.0 22.5  23.8 16.6
  30 180 -72.50   40.2 108.4 17.0  60.4 15.1   -7.2 225.2 22.5  24.1 16.6
  30 185 -72.50   40.1 108.4 17.0  60.4 15.1   -6.5 225.4 22.5  24.3 16.5
  30 190 -72.50   40.0 108.4 17.0  60.3 15.1   -5.9 225.6 22.5  24.4 16.5
  30 195 -72.50   39.9 108.4 16.9  60.3 15.1   -5.5 225.8 22.5  24.5 16.5
  30 200 -72.50   39.9 108.4 16.9  60.3 15.1   -5.2 225.8 22.5  24.5 16.5
