  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -87.50   17.2  33.8 20.4    .3 22.7    1.7  33.2 26.3   1.4 13.4
  30  85 -87.50   18.4  55.5 20.4    .4 22.7    3.9  51.5 26.3   1.4 13.4
  30  90 -87.50   19.8  67.9 19.2   1.3 21.5    6.6  65.6 24.7   1.4 12.9
  30  95 -87.50   28.6  77.5 17.6   5.0 21.1    9.5  83.2 23.1   3.6 13.1
  30 100 -87.50   42.5 113.5 16.0  10.3 21.3    6.5 124.7 21.8   9.8 13.1
  30 105 -87.50   47.3 181.1 15.5  15.0 22.0   -5.4 194.5 21.5  18.1 13.1
  30 110 -87.50   39.0 245.8 15.7  15.1 22.5  -14.9 263.7 21.6  18.5 13.2
  30 115 -87.50   29.1 289.6 15.9  11.1 22.7  -17.1 312.7 21.9  13.1 13.2
  30 120 -87.50   22.3 314.5 16.1   6.3 22.6  -15.6 341.2 22.0   7.6 13.0
  30 125 -87.50   18.2 327.5 16.1   3.1 22.1  -12.9 356.5 22.1   3.8 12.7
  30 130 -87.50   15.9 334.1 16.1   1.5 21.4  -10.0 364.2 22.1   1.6 12.1
  30 135 -87.50   14.6 337.3 16.1   1.4 20.7   -7.2 368.0 22.1   1.0 11.3
  30 140 -87.50   13.8 338.8 16.1   1.5 20.1   -4.6 369.6 22.1   1.1 22.6
  30 145 -87.50   13.5 339.5 16.0   1.5 19.7   -2.2 370.3 22.0   1.2 22.0
  30 150 -87.50   13.4 340.0 15.9   1.4 19.5    -.2 370.5 22.0   1.1 21.5
  30 155 -87.50   13.3 340.3 15.9   1.1 19.3    1.7 370.5 21.9    .9 21.1
  30 160 -87.50   13.3 340.6 15.8    .9 19.0    3.3 370.5 21.9    .8 20.7
  30 165 -87.50   13.4 340.9 15.8    .6 18.6    4.7 370.5 21.9    .6 20.1
  30 170 -87.50   13.4 341.3 15.8    .4 17.9    5.9 370.5 21.8    .4 18.9
  30 175 -87.50   13.4 341.5 15.7    .4 16.1    6.9 370.6 21.8    .5 17.1
  30 180 -87.50   13.5 341.8 15.7    .3 14.7    7.8 370.6 21.8    .4 16.4
  30 185 -87.50   13.5 342.0 15.7    .4 14.2    8.5 370.7 21.8    .4 15.9
  30 190 -87.50   13.5 342.2 15.7    .3 14.0    9.2 370.7 21.7    .3 15.8
  30 195 -87.50   13.5 342.3 15.7    .4 13.9    9.7 370.8 21.7    .4 15.5
  30 200 -87.50   13.5 342.5 15.6    .3 13.8   10.2 370.8 21.7    .3 15.6
  30 205 -87.50   13.5 342.6 15.6    .3 13.8   10.6 370.9 21.7    .3 15.4
  30 210 -87.50   13.4 342.7 15.6    .2 13.7   11.0 370.9 21.7    .2 15.5
  30 215 -87.50   13.4 342.7 15.6    .2 13.7   11.2 371.0 21.7    .2 15.3
  30 220 -87.50   13.4 342.8 15.6    .2 13.7   11.4 371.0 21.7    .2 15.3
  30 225 -87.50   13.4 342.8 15.6    .1 13.8   11.6 371.0 21.7    .1 14.7
  30 230 -87.50   13.4 342.8 15.6    .1 13.8   11.7 371.0 21.7    .1 13.2
  30 235 -87.50   13.4 342.9 15.6    .1 13.8   11.8 371.0 21.7    .0 13.2
  30 240 -87.50   13.4 342.9 15.6    .0 13.8   11.9 371.0 21.7    .0 13.2
  30  80 -82.50   45.7  28.8 20.5    .9 22.7    2.0  28.1 26.5   1.6 13.4
  30  85 -82.50   49.1  50.3 20.5    .9 22.7    6.4  46.6 26.5   1.7 13.4
  30  90 -82.50   53.4  65.3 19.3   2.1 21.5   11.3  61.9 24.9   2.3 12.9
  30  95 -82.50   66.3  78.0 17.8   6.1 21.1   14.6  83.3 23.4   6.0 13.1
  30 100 -82.50   84.5 109.4 16.4  11.3 21.3    6.5 126.9 22.2  14.3 13.1
  30 105 -82.50   89.9 164.3 15.9  15.3 22.0  -11.0 190.4 21.8  21.9 13.1
  30 110 -82.50   79.6 215.1 15.9  15.1 22.5  -24.4 250.8 21.9  21.5 13.2
  30 115 -82.50   65.0 249.1 16.0  11.5 22.7  -26.2 294.5 22.0  15.6 13.2
  30 120 -82.50   54.0 269.5 16.1   7.3 22.6  -23.0 321.2 22.1   9.5 13.0
  30 125 -82.50   46.5 281.2 16.2   4.2 22.1  -18.2 336.2 22.1   5.2 12.7
  30 130 -82.50   41.4 287.8 16.2   2.7 21.4  -13.4 344.1 22.1   2.8 12.1
  30 135 -82.50   37.9 291.6 16.1   2.2 20.7   -8.9 348.1 22.0   1.7 11.3
  30 140 -82.50   35.6 293.9 16.1   2.1 20.1   -4.8 350.0 22.0   1.5 22.6
  30 145 -82.50   34.0 295.3 16.0   1.9 19.7   -1.3 350.7 22.0   1.3 22.0
  30 150 -82.50   32.9 296.3 16.0   1.6 19.5    1.7 350.9 21.9   1.1 21.5
  30 155 -82.50   32.1 297.0 15.9   1.3 19.3    4.2 350.8 21.9    .9 21.1
  30 160 -82.50   31.5 297.6 15.8    .9 19.0    6.4 350.6 21.9    .7 20.7
  30 165 -82.50   31.1 298.2 15.8    .7 18.6    8.2 350.4 21.8    .5 20.1
  30 170 -82.50   30.8 298.6 15.8    .4 17.9    9.7 350.1 21.8    .3 18.9
  30 175 -82.50   30.5 299.0 15.7    .3 16.1   11.0 349.9 21.8    .3 17.1
  30 180 -82.50   30.3 299.3 15.7    .3 14.7   12.0 349.7 21.8    .3 16.4
  30 185 -82.50   30.2 299.6 15.7    .4 14.2   12.9 349.6 21.8    .4 15.9
  30 190 -82.50   30.1 299.8 15.7    .4 14.0   13.6 349.5 21.8    .3 15.8
  30 195 -82.50   30.0 300.0 15.7    .4 13.9   14.3 349.4 21.7    .3 15.5
  30 200 -82.50   29.9 300.1 15.6    .3 13.8   14.8 349.3 21.7    .3 15.6
  30 205 -82.50   29.9 300.2 15.6    .3 13.8   15.3 349.2 21.7    .2 15.4
  30 210 -82.50   29.9 300.3 15.6    .3 13.7   15.5 349.2 21.7    .2 15.5
  30 215 -82.50   29.8 300.4 15.6    .2 13.7   15.8 349.1 21.7    .2 15.3
  30 220 -82.50   29.8 300.4 15.6    .2 13.7   16.0 349.1 21.7    .1 15.3
  30 225 -82.50   29.8 300.5 15.6    .1 13.8   16.2 349.0 21.7    .1 14.7
  30 230 -82.50   29.8 300.5 15.6    .1 13.8   16.3 349.0 21.7    .1 13.2
  30 235 -82.50   29.8 300.5 15.6    .1 13.8   16.3 349.0 21.7    .1 13.2
  30 240 -82.50   29.8 300.5 15.6    .1 13.8   16.3 349.0 21.7    .1 13.2
  30  80 -77.50   65.8  17.2 21.0   8.6 21.1     .8  15.5 26.7   8.9 11.9
  30  85 -77.50   71.3  36.9 21.0  10.2 21.1    6.2  34.1 26.7  12.1 11.9
  30  90 -77.50   77.7  53.9 19.9  13.8 20.1   11.4  51.2 25.4  16.8 11.4
  30  95 -77.50   89.8  71.0 18.3  18.4 19.8   13.1  78.3 24.0  23.0 11.2
  30 100 -77.50  104.7  96.0 17.1  22.4 19.8    4.0 126.3 23.0  27.7 11.0
  30 105 -77.50  109.0 127.5 16.6  24.4 19.9  -14.4 181.5 22.6  28.8 22.8
