  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  75 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  70 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  65 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  60 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  55 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  50 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  45 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  40 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  35 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  30 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  25 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  20 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  15 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  10 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30   5 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30   0 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  80 -82.50   91.4  94.3 20.7  86.9  5.0  -11.3 106.8   .9  85.4  1.9
  30  75 -82.50   91.4  94.3 20.7  86.9  5.0  -11.3 106.8   .9  85.4  1.9
  30  70 -82.50   72.3  68.3 17.4  69.1 11.6   -6.0  73.8 23.5  68.1  1.2
  30  65 -82.50   55.9  58.6 17.5  58.6 11.4    -.2  60.2  1.9  66.5  1.4
  30  60 -82.50   44.6  60.9 16.6  54.8  9.8   -4.1  59.8 24.0  48.8  2.4
  30  55 -82.50   41.0  53.9 15.3  43.0  2.1   -4.3  45.3 22.0  38.0  6.0
  30  50 -82.50   43.6  41.3 17.2  34.3  2.9   -3.8  46.3 23.1  40.9  5.4
  30  45 -82.50   38.0  40.5 20.0  32.1  3.8   -4.1  40.9 23.7  28.8  7.4
  30  40 -82.50   42.5  27.7  2.6  23.8  7.2     .8  30.5  6.6  24.2  9.5
  30  35 -82.50   38.3  18.6 19.4  19.1  7.0     .9  18.0  3.0  20.1 10.8
  30  30 -82.50   30.7  15.4 19.0  14.3  4.1    1.4  14.2   .9  14.2  6.9
  30  25 -82.50   22.7  10.8 17.6  11.4  7.1     .3  10.6   .0  11.6 10.1
  30  20 -82.50   12.5   5.8 20.5   6.6  1.0    -.2   6.6  2.3   6.6  4.0
  30  15 -82.50    4.9   4.8 20.1   4.4   .5     .6   4.8  1.7   4.5  2.8
  30  10 -82.50     .1   3.6 20.7   2.3  1.1     .3   3.6  2.5   2.2  4.1
  30   5 -82.50   -2.5   5.7  3.5   4.0  6.8    -.2   5.6  6.4   3.8  9.7
  30   0 -82.50   -2.5   5.7  3.5   4.0  6.8    -.2   5.6  6.4   3.8  9.7
  30  80 -75.00  139.1  62.0 19.8  57.8  5.6   -7.1  69.2 22.3  57.5  8.5
  30  75 -75.00  136.1  53.1 16.2  54.6  7.4   -6.0  52.7 23.5  53.8  9.2
  30  70 -75.00  125.0  39.1 18.3  46.3  4.9    4.7  48.3   .2  47.6  9.7
