  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2  Pa0Nm2     PA1% Pp1Hr   PA2% Pp2Hr  DA0kgm3    DA1% Dp1Hr   DA2% Dp2Hr
  30  80 -87.5 119.60  3.03 16.1   .11 22.0 6.253E-03   5.32  15.3   2.67  17.4 2.719E-07   2.99  15.1   2.56  17.3
  30  85 -87.5 117.52  5.42 16.1   .17 22.0 2.884E-03   6.71  15.5   2.70  17.4 1.275E-07   3.50  15.1   2.73  17.3
  30  90 -87.5 121.24  9.35 16.3   .68 22.6 1.341E-03  11.42  15.8   2.55  17.4 5.741E-08   4.74  15.1   2.92  17.5
  30  95 -87.5 125.92 15.27 17.0   .96 11.5 6.483E-04  15.68  15.9   2.48  17.3 2.671E-08   8.19  14.9   2.60  18.3
  30 100 -87.5 129.75 15.87 17.3   .54 16.4 3.201E-04  28.09  16.5   2.36  17.4 1.276E-08  17.14  15.9   1.40  11.4
  30 105 -87.5 137.57  9.37 17.6  1.90 16.8 1.635E-04  33.39  16.6   2.24  17.4 6.082E-09  28.84  16.5   1.47  15.6
  30 110 -87.5 146.91  3.15 19.1  1.71 16.8 8.742E-05  35.99  16.7   2.09  17.4 3.010E-09  36.60  16.6   3.50  16.5
  30 115 -87.5 153.92  2.44 24.6   .92 16.8 4.860E-05  36.54  16.8   1.98  17.4 1.583E-09  39.75  16.7   5.15  16.7
  30 120 -87.5 158.11  3.69 26.0   .28 17.2 2.772E-05  35.38  16.8   1.90  17.4 8.705E-10  39.96  16.8   5.91  16.7
  30 125 -87.5 160.77  3.96 26.1   .13 19.2 1.609E-05  30.58  17.1   1.79  17.4 4.904E-10  38.35  16.8   6.00  16.8
  30 130 -87.5 162.66  3.54 25.7   .27 21.8 9.504E-06  27.53  17.2   1.73  17.4 2.807E-10  35.76  17.0   5.68  16.9
  30 135 -87.5 164.04  2.95 24.8   .28 22.2 5.709E-06  24.23  17.5   1.66  17.3 1.629E-10  32.83  17.1   5.21  16.9
  30 140 -87.5 165.03  2.57 23.6   .23 22.3 3.493E-06  20.66  17.8   1.57  17.3 9.585E-11  29.87  17.2   4.75  17.0
  30 145 -87.5 165.71  2.50 22.3   .16 22.4 2.178E-06  16.72  18.3   1.46  17.3 5.721E-11  26.89  17.4   4.32  17.0
  30 150 -87.5 166.13  2.62 21.4   .11 22.5 1.393E-06  16.72  18.3   1.46  17.3 3.475E-11  23.82  17.6   3.86  17.0
  30 155 -87.5 166.40  2.79 20.8   .07 22.8 9.131E-07  12.79  19.3   1.32  17.3 2.151E-11  20.48  18.0   3.38  17.1
  30 160 -87.5 166.58  2.96 20.4   .04 11.4 6.138E-07   9.93  21.1   1.16  17.4 1.360E-11  16.76  18.5   2.94  17.1
  30 165 -87.5 166.71  3.10 20.2   .04 12.7 4.225E-07  10.70  23.8    .97  17.6 8.777E-12  13.18  19.2   2.51  17.3
  30 170 -87.5 166.80  3.20 20.0   .03 14.0 2.969E-07  15.59  25.5    .79  17.9 5.772E-12  10.59  20.7   1.82  17.6
  30 175 -87.5 166.86  3.28 19.9   .04 14.7 2.156E-07  15.59  25.5    .79  17.9 3.935E-12  10.10  22.8   1.84  18.8
  30 180 -87.5 166.91  3.33 19.8   .03 15.0 1.588E-07  22.31  26.3    .60  18.7 2.730E-12  12.01  24.5   1.95  19.4
  30 185 -87.5 166.95  3.37 19.8   .03 15.2 1.190E-07  22.31  26.3    .60  18.7 1.937E-12  16.24  25.6   1.55  20.4
  30 190 -87.5 166.98  3.40 19.8   .03 15.3 9.084E-08  29.50  26.8    .45  19.6 1.413E-12  20.53  26.2   1.42  20.3
  30 195 -87.5 167.00  3.42 19.7   .02 15.4 6.984E-08  29.50  26.8    .45  19.6 1.043E-12  25.87  26.6    .60  17.3
  30 200 -87.5 167.02  3.43 19.7   .02 15.4 5.458E-08  36.13  27.0    .35  20.2 7.872E-13  31.00  26.9   1.68  15.7
  30 205 -87.5 167.03  3.44 19.7   .01 15.4 4.282E-08  36.13  27.0    .35  20.2 5.973E-13  35.90  27.0   3.14  15.6
  30 210 -87.5 167.04  3.45 19.7   .01 15.4 3.396E-08  41.60  27.0    .35  20.2 4.616E-13  40.00  27.0   4.45  15.6
  30 215 -87.5 167.05  3.45 19.7   .00 15.4 2.703E-08  41.60  27.0    .35  20.2 3.589E-13  43.63  27.0   5.46  15.6
  30 220 -87.5 167.05  3.45 19.7   .00 15.4 2.164E-08  41.60  27.0    .35  20.2 2.817E-13  43.63  27.0   5.46  15.6
  30 225 -87.5 167.05  3.45 19.7   .00 15.4 1.741E-08  41.60  27.0    .35  20.2 2.226E-13  43.63  27.0   5.46  15.6
  30 230 -87.5 167.05  3.45 19.7   .00 15.4 1.406E-08  41.60  27.0    .35  20.2 1.767E-13  43.63  27.0   5.46  15.6
  30 235 -87.5 167.05  3.45 19.7   .00 15.4 1.146E-08  41.60  27.0    .35  20.2 1.415E-13  43.63  27.0   5.46  15.6
  30 240 -87.5 167.05  3.45 19.7   .00 15.4 9.411E-09  41.60  27.0    .35  20.2 1.142E-13  43.63  27.0   5.46  15.6
  30  80 -82.5 122.63  5.37 16.4   .14 22.0 7.085E-03   6.12  14.7   2.28  17.4 3.011E-07   3.79  14.2   2.16  17.3
  30  85 -82.5 120.36  8.61 16.4   .38 22.0 3.336E-03  10.22  15.3   2.35  17.4 1.446E-07   5.13  14.2   2.20  17.3
