  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2    UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
 030 -82.5  270 148.62    .15  3.2    .19  9.8   -4.7    .4 14.0    .8 10.0     .0    .0   .0    .0   .0
 030 -82.5  261 148.84    .23  2.6    .30 10.9   -6.1    .3 14.2    .8 10.8     .0    .0   .0    .0   .0
 030 -82.5  252 149.04    .31   .8    .34 11.2   -5.1    .2 13.7    .7 11.9     .0    .0   .0    .0   .0
 030 -82.5  243 149.07    .54 23.7    .36 11.4   -2.9    .2 19.6    .6 13.4     .0    .0   .0    .0   .0
 030 -82.5  234 149.49    .66 23.8    .35 11.5   -1.6    .7 21.6    .7 14.8     .0    .0   .0    .0   .0
 030 -82.5  225 150.35    .56   .2    .34 10.8     .4   1.4 22.8    .7 15.9     .0    .0   .0    .0   .0
 030 -82.5  216 150.80    .28 23.3    .45 10.1    2.9   1.7   .0    .5 16.4     .0    .0   .0    .0   .0
 030 -82.5  207 150.91    .38 17.5    .66  3.9    4.9   1.5  1.3    .2 16.3     .0    .0   .0    .0   .0
 030 -82.5  198 151.02    .67 17.0    .80  4.4    6.7    .6  3.3    .1 13.3     .0    .0   .0    .0   .0
 030 -82.5  189 150.80    .65 16.4    .79  5.1    7.5    .3 11.3    .4 12.5     .0    .0   .0    .0   .0
 030 -82.5  180 150.35    .63 15.4    .60   .2    7.3    .3 12.7    .7 12.9     .0    .0   .0    .0   .0
 030 -82.5  171 150.10    .77 15.2    .30  2.4    7.0    .6  6.4    .8 13.5     .0    .0   .0    .0   .0
 030 -82.5  162 150.07    .75 16.4    .13  9.3    5.8   1.4  7.0    .9 14.5     .0    .0   .0    .0   .0
 030 -82.5  153 149.84    .50 18.4    .26  7.8    4.2   1.7  8.3   1.0 15.8     .0    .0   .0    .0   .0
 030 -82.5  144 149.64    .27 22.8    .28 10.3    3.4   1.3  9.6    .8 17.1     .0    .0   .0    .0   .0
 030 -82.5  135 149.71    .26  2.4    .25 11.7    2.2    .5  9.9    .6 18.4     .0    .0   .0    .0   .0
 030 -82.5  126 149.69    .16  2.9    .18   .4     .4    .3  3.3    .4 19.5     .0    .0   .0    .0   .0
 030 -82.5  117 149.61    .11 23.9    .10  2.5   -1.3    .5  3.4    .2 21.1     .0    .0   .0    .0   .0
 030 -82.5  108 149.80    .17 20.7    .11  6.1   -3.3    .5  4.1    .2 24.0     .0    .0   .0    .0   .0
 030 -82.5   99 149.84    .26 19.6    .14  6.8   -4.3    .5  4.8    .3  1.3     .0    .0   .0    .0   .0
 030 -82.5   90 149.64    .30 20.5    .16  7.9   -3.6    .4  7.9    .4  2.0     .0    .0   .0    .0   .0
