  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2
 030 -75.0   63 146.06    .02   .5    .00 11.7
 030 -75.0   54 146.09    .02  1.0    .00 11.2
 030 -75.0   45 146.07    .03  1.5    .01 11.0
 030 -75.0   36 145.97    .03  1.8    .01 11.4
 030 -75.0   27 145.88    .03  1.9    .01   .3
 030 -75.0   18 145.85    .04  2.2    .01  1.3
 030 -75.0    9 145.87    .04  2.8    .01  2.0
 030 -67.5  360 146.37    .05  4.0    .01  6.2
 030 -67.5  351 146.44    .05  4.7    .01  6.9
 030 -67.5  342 146.47    .05  5.6    .01  7.1
 030 -67.5  333 146.49    .03  5.8    .01  7.0
 030 -67.5  324 146.52    .03  3.2    .01  7.1
 030 -67.5  315 146.58    .04  3.6    .01  6.8
 030 -67.5  306 146.67    .04  5.0    .01  6.5
 030 -67.5  297 146.79    .04  6.0    .01  6.6
 030 -67.5  288 146.86    .03  6.5    .01  7.0
 030 -67.5  279 146.77    .03  6.1    .01  6.8
 030 -67.5  270 146.50    .02  5.3    .01  6.8
 030 -67.5  261 146.30    .01  4.2    .01  7.4
 030 -67.5  252 146.34    .02  2.9    .01  8.0
 030 -67.5  243 146.51    .02  2.4    .02  8.4
 030 -67.5  234 146.67    .03  2.4    .02  8.7
 030 -67.5  225 146.72    .04  2.7    .01  9.0
 030 -67.5  216 146.60    .04  3.4    .01  9.1
 030 -67.5  207 146.46    .04  4.0    .01  9.2
 030 -67.5  198 146.39    .04  4.3    .01  9.3
 030 -67.5  189 146.37    .04  4.6    .01  9.3
 030 -67.5  180 146.41    .05  5.0    .01  9.1
 030 -67.5  171 146.57    .05  5.6    .01  9.1
 030 -67.5  162 146.69    .05  6.2    .01  9.3
 030 -67.5  153 146.57    .04  6.7    .01  9.7
 030 -67.5  144 146.36    .04  7.1    .01 10.2
 030 -67.5  135 146.25    .03  7.3    .00 10.3
 030 -67.5  126 146.26    .02  6.9    .00  9.7
 030 -67.5  117 146.27    .02  6.4    .01  8.7
 030 -67.5  108 146.28    .02  6.7    .01  8.1
 030 -67.5   99 146.32    .01  6.8    .00  7.7
 030 -67.5   90 146.36    .01  4.1    .00  7.6
 030 -67.5   81 146.41    .01  1.2    .00  8.8
 030 -67.5   72 146.45    .02   .6    .00 10.4
 030 -67.5   63 146.49    .03  1.0    .00  9.7
 030 -67.5   54 146.55    .04  1.6    .00  8.8
 030 -67.5   45 146.53    .03  2.2    .00 10.3
 030 -67.5   36 146.41    .03  2.5    .00 11.4
 030 -67.5   27 146.26    .04  2.5    .00   .9
 030 -67.5   18 146.18    .05  2.7    .00  4.1
 030 -67.5    9 146.25    .05  3.3    .01  5.4
 030 -60.0  360 152.34   9.66 13.7   5.77  1.5
 030 -60.0  351 152.35   9.53 13.8   5.69  1.6
 030 -60.0  342 152.44   9.78 13.7   5.90  1.6
 030 -60.0  333 152.40   9.86 13.6   6.19  1.5
 030 -60.0  324 152.28   9.43 13.7   6.13  1.6
 030 -60.0  315 152.05   8.53 13.7   5.88  1.6
 030 -60.0  306 152.27   8.30 13.6   5.87  1.6
 030 -60.0  297 152.86   8.67 13.5   5.85  1.5
