  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2    UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
 030 -90.0  360 150.78    .00  -.3    .00  4.3   -3.2    .0  9.4    .0  -.9     .0    .0   .0    .0   .0
 030 -90.0  351 150.78    .00   .0    .00  8.6   -3.2    .0 11.2    .0   .0     .0    .0   .0    .0   .0
 030 -90.0  342 150.78    .00  -.5    .00  9.9   -3.2    .0 12.4    .0  1.0     .0    .0   .0    .0   .0
 030 -90.0  333 150.78    .00 12.4    .00 -1.1   -3.2    .0 13.1    .0  1.8     .0    .0   .0    .0   .0
 030 -90.0  324 150.78    .00 12.5    .00   .1   -3.2    .0  6.0    .0  6.3     .0    .0   .0    .0   .0
 030 -90.0  315 150.78    .00 12.2    .00  1.4   -3.2    .0  4.7    .0  8.1     .0    .0   .0    .0   .0
 030 -90.0  306 150.78    .00 11.5    .00  2.7   -3.2    .0  4.8    .0  7.9     .0    .0   .0    .0   .0
 030 -90.0  297 150.78    .00 10.1    .00  4.7   -3.2    .0  5.3    .0  7.3     .0    .0   .0    .0   .0
 030 -90.0  288 150.78    .00 10.0    .00  9.8   -3.2    .0  7.0    .0  7.7     .0    .0   .0    .0   .0
 030 -90.0  279 150.78    .00 13.8    .00 11.1   -3.2    .0  9.9    .0  8.6     .0    .0   .0    .0   .0
 030 -90.0  270 150.78    .00 23.6    .00 11.9   -3.2    .0 12.8    .0  9.6     .0    .0   .0    .0   .0
 030 -90.0  261 150.78    .00   .9    .00 12.6   -3.2    .0 13.9    .0 10.7     .0    .0   .0    .0   .0
 030 -90.0  252 150.78    .00  1.3    .00 12.7   -3.2    .0 15.5    .0 11.9     .0    .0   .0    .0   .0
 030 -90.0  243 150.78    .00   .9    .00 11.9   -3.2    .0 20.1    .0 13.2     .0    .0   .0    .0   .0
 030 -90.0  234 150.78    .00   .7    .00 11.8   -3.2    .0 21.6    .0 14.4     .0    .0   .0    .0   .0
 030 -90.0  225 150.78    .00   .3    .00 12.0   -3.2    .0 22.4    .0 15.2     .0    .0   .0    .0   .0
 030 -90.0  216 150.78    .00 17.8    .00 12.5   -3.2    .0 23.3    .0 15.5     .0    .0   .0    .0   .0
 030 -90.0  207 150.78    .00 16.5    .00 12.9   -3.2    .0   .6    .0 15.2     .0    .0   .0    .0   .0
 030 -90.0  198 150.78    .00 16.7    .00 13.4   -3.2    .0  3.5    .0 12.3     .0    .0   .0    .0   .0
 030 -90.0  189 150.78    .00 16.1    .00 14.0   -3.2    .0 11.5    .0 11.4     .0    .0   .0    .0   .0
 030 -90.0  180 150.78    .00 15.0    .00 14.7   -3.2    .0 12.2    .0 12.0     .0    .0   .0    .0   .0
 030 -90.0  171 150.78    .00 15.3    .00 14.1   -3.2    .0  6.5    .0 13.0     .0    .0   .0    .0   .0
 030 -90.0  162 150.78    .00 17.3    .00 10.7   -3.2    .0  6.8    .0 14.3     .0    .0   .0    .0   .0
