  Ls   Lat LonW  TA0K    TA1K  Tp1   TA2K  Tp2    UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
 030 -90.0  360 145.75    .00 -5.2    .00   .6    1.7    .0  5.9    .0  6.7     .0    .0   .0    .0   .0
 030 -90.0  351 145.75    .00 -5.1    .00  -.7    1.7    .0  5.6    .0  7.0     .0    .0   .0    .0   .0
 030 -90.0  342 145.75    .00 19.0    .00  -.5    1.7    .0  5.6    .0  7.5     .0    .0   .0    .0   .0
 030 -90.0  333 145.75    .00 -4.0    .00   .3    1.7    .0  5.8    .0  8.1     .0    .0   .0    .0   .0
 030 -90.0  324 145.75    .00 -2.5    .00  1.1    1.7    .0  6.0    .0  8.7     .0    .0   .0    .0   .0
 030 -90.0  315 145.75    .00  -.9    .00  1.7    1.7    .0  5.4    .0  9.2     .0    .0   .0    .0   .0
 030 -90.0  306 145.75    .00  -.3    .00  2.1    1.7    .0  6.6    .0  9.4     .0    .0   .0    .0   .0
 030 -90.0  297 145.75    .00 -1.4    .00  2.2    1.7    .0 12.7    .0  9.4     .0    .0   .0    .0   .0
 030 -90.0  288 145.75    .00 22.6    .00  1.9    1.7    .0 13.8    .0  9.5     .0    .0   .0    .0   .0
 030 -90.0  279 145.75    .00 22.5    .00  1.1    1.7    .0 14.5    .0 10.0     .0    .0   .0    .0   .0
 030 -90.0  270 145.75    .00 22.1    .00  5.8    1.7    .0 14.8    .0 10.6     .0    .0   .0    .0   .0
 030 -90.0  261 145.75    .00 20.0    .00  4.7    1.7    .0 14.7    .0 11.0     .0    .0   .0    .0   .0
 030 -90.0  252 145.75    .00 17.7    .00  4.0    1.7    .0 14.4    .0 11.3     .0    .0   .0    .0   .0
 030 -90.0  243 145.75    .00 17.4    .00  3.8    1.7    .0  8.0    .0 11.8     .0    .0   .0    .0   .0
 030 -90.0  234 145.75    .00 16.8    .00  3.0    1.7    .0  5.5    .0 12.3     .0    .0   .0    .0   .0
 030 -90.0  225 145.75    .00 16.1    .00  1.5    1.7    .0  5.6    .0 13.0     .0    .0   .0    .0   .0
 030 -90.0  216 145.75    .00 15.3    .00  3.6    1.7    .0  5.8    .0 13.7     .0    .0   .0    .0   .0
 030 -90.0  207 145.75    .00 15.0    .00  3.0    1.7    .0  5.7    .0 14.4     .0    .0   .0    .0   .0
 030 -90.0  198 145.75    .00 15.7    .00  3.5    1.7    .0  5.1    .0 15.1     .0    .0   .0    .0   .0
 030 -90.0  189 145.75    .00 17.5    .00  4.9    1.7    .0  4.5    .0 15.5     .0    .0   .0    .0   .0
 030 -90.0  180 145.75    .00 19.3    .00  1.1    1.7    .0  4.8    .0 15.3     .0    .0   .0    .0   .0
 030 -90.0  171 145.75    .00 22.0    .00  3.0    1.7    .0  5.6    .0 15.2     .0    .0   .0    .0   .0
 030 -90.0  162 145.75    .00   .8    .00  5.2    1.7    .0  6.4    .0 15.9     .0    .0   .0    .0   .0
 030 -90.0  153 145.75    .00  5.5    .00  8.2    1.7    .0  6.5    .0 16.8     .0    .0   .0    .0   .0
 030 -90.0  144 145.75    .00  8.9    .00 11.5    1.7    .0  5.8    .0 17.5     .0    .0   .0    .0   .0
 030 -90.0  135 145.75    .00 11.4    .00  1.7    1.7    .0  4.8    .0 18.1     .0    .0   .0    .0   .0
 030 -90.0  126 145.75    .00 14.3    .00  9.7    1.7    .0  4.5    .0 18.4     .0    .0   .0    .0   .0
 030 -90.0  117 145.75    .00 16.8    .00 11.6    1.7    .0  4.6    .0 18.8     .0    .0   .0    .0   .0
 030 -90.0  108 145.75    .00 18.0    .00   .8    1.7    .0  4.9    .0 19.3     .0    .0   .0    .0   .0
 030 -90.0   99 145.75    .00 18.6    .00  1.5    1.7    .0  5.3    .0 19.9     .0    .0   .0    .0   .0
 030 -90.0   90 145.75    .00 18.4    .00  1.5    1.7    .0  5.2    .0 20.2     .0    .0   .0    .0   .0
 030 -90.0   81 145.75    .00 13.2    .00   .7    1.7    .0  4.3    .0 19.7     .0    .0   .0    .0   .0
 030 -90.0   72 145.75    .00 11.4    .00  5.2    1.7    .0  3.2    .0 18.1     .0    .0   .0    .0   .0
 030 -90.0   63 145.75    .00 10.9    .00  4.0    1.7    .0  2.5    .0 17.5     .0    .0   .0    .0   .0
 030 -90.0   54 145.75    .00 22.7    .00  2.7    1.7    .0  2.2    .0 17.7     .0    .0   .0    .0   .0
 030 -90.0   45 145.75    .00 21.3    .00  1.0    1.7    .0  2.3    .0  6.0     .0    .0   .0    .0   .0
 030 -90.0   36 145.75    .00 19.7    .00   .4    1.7    .0  2.9    .0  6.2     .0    .0   .0    .0   .0
 030 -90.0   27 145.75    .00 19.3    .00   .4    1.7    .0  4.4    .0  6.5     .0    .0   .0    .0   .0
 030 -90.0   18 145.75    .00 19.1    .00   .4    1.7    .0  5.7    .0  6.6     .0    .0   .0    .0   .0
 030 -90.0    9 145.75    .00 18.9    .00 11.8    1.7    .0  6.1    .0  6.6     .0    .0   .0    .0   .0
 030 -82.5  360 145.67    .11 -5.2    .03   .6   -1.7   1.2  5.9    .7  6.7     .0    .0   .0    .0   .0
 030 -82.5  351 145.83    .10 -5.1    .08  -.7    -.4   1.4  5.6    .8  7.0     .0    .0   .0    .0   .0
 030 -82.5  342 146.20    .11 19.0    .13  -.5     .5   1.3  5.6    .8  7.5     .0    .0   .0    .0   .0
 030 -82.5  333 146.46    .13 -4.0    .16   .3     .9   1.0  5.8    .8  8.1     .0    .0   .0    .0   .0
 030 -82.5  324 146.46    .13 -2.5    .18  1.1    1.0    .6  6.0    .8  8.7     .0    .0   .0    .0   .0
 030 -82.5  315 146.29    .09  -.9    .18  1.7    1.3    .2  5.4    .7  9.2     .0    .0   .0    .0   .0
 030 -82.5  306 146.22    .06  -.3    .16  2.1    1.8    .1  6.6    .6  9.4     .0    .0   .0    .0   .0
 030 -82.5  297 146.27    .10 -1.4    .13  2.2    2.4    .3 12.7    .5  9.4     .0    .0   .0    .0   .0
 030 -82.5  288 146.43    .17 22.6    .10  1.9    2.7    .6 13.8    .6  9.5     .0    .0   .0    .0   .0
 030 -82.5  279 146.66    .18 22.5    .08  1.1    2.1    .8 14.5    .6 10.0     .0    .0   .0    .0   .0
 030 -82.5  270 146.27    .14 22.1    .07  5.8    1.6    .8 14.8    .6 10.6     .0    .0   .0    .0   .0
 030 -82.5  261 145.79    .06 20.0    .05  4.7    2.4    .8 14.7    .7 11.0     .0    .0   .0    .0   .0
 030 -82.5  252 145.83    .08 17.7    .06  4.0    3.6    .5 14.4    .7 11.3     .0    .0   .0    .0   .0
 030 -82.5  243 145.90    .11 17.4    .05  3.8    4.2    .1  8.0    .8 11.8     .0    .0   .0    .0   .0
 030 -82.5  234 145.71    .10 16.8    .04  3.0    5.0    .6  5.5    .8 12.3     .0    .0   .0    .0   .0
 030 -82.5  225 145.57    .09 16.1    .03  1.5    6.4   1.0  5.6    .8 13.0     .0    .0   .0    .0   .0
 030 -82.5  216 145.50    .08 15.3    .04  3.6    7.5   1.2  5.8    .7 13.7     .0    .0   .0    .0   .0
 030 -82.5  207 145.49    .08 15.0    .06  3.0    8.1   1.2  5.7    .6 14.4     .0    .0   .0    .0   .0
 030 -82.5  198 145.57    .07 15.7    .07  3.5    8.6   1.1  5.1    .4 15.1     .0    .0   .0    .0   .0
