  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2
  30 -90.0 360 143.90   .02 10.7   .01  2.0
  30 -90.0 351 143.90   .02 11.3   .01  2.6
  30 -90.0 342 143.90   .02 11.9   .01  3.2
  30 -90.0 333 143.90   .02 12.5   .01  3.8
  30 -90.0 324 143.90   .02 13.1   .01  4.4
  30 -90.0 315 143.90   .02 13.7   .01  5.0
  30 -90.0 306 143.90   .02 14.3   .01  5.6
  30 -90.0 297 143.90   .02 14.9   .01  6.2
  30 -90.0 288 143.90   .02 15.5   .01  6.8
  30 -90.0 279 143.90   .02 16.1   .01  7.4
  30 -90.0 270 143.90   .02 16.7   .01  8.0
  30 -90.0 261 143.90   .02 17.3   .01  8.6
  30 -90.0 252 143.90   .02 17.9   .01  9.2
  30 -90.0 243 143.90   .02 18.5   .01  9.8
  30 -90.0 234 143.90   .02 19.1   .01 10.4
  30 -90.0 225 143.90   .02 19.7   .01 11.0
  30 -90.0 216 143.90   .02 20.3   .01 11.6
  30 -90.0 207 143.90   .02 20.9   .01   .2
  30 -90.0 198 143.90   .02 21.5   .01   .8
  30 -90.0 189 143.90   .02 22.1   .01  1.4
  30 -90.0 180 143.90   .02 22.7   .01  2.0
  30 -90.0 171 143.90   .02 23.3   .01  2.6
  30 -90.0 162 143.90   .02 23.9   .01  3.2
  30 -90.0 153 143.90   .02   .5   .01  3.8
  30 -90.0 144 143.90   .02  1.1   .01  4.4
  30 -90.0 135 143.90   .02  1.7   .01  5.0
  30 -90.0 126 143.90   .02  2.3   .01  5.6
  30 -90.0 117 143.90   .02  2.9   .01  6.2
  30 -90.0 108 143.90   .02  3.5   .01  6.8
  30 -90.0  99 143.90   .02  4.1   .01  7.4
  30 -90.0  90 143.90   .02  4.7   .01  8.0
  30 -90.0  81 143.90   .02  5.3   .01  8.6
  30 -90.0  72 143.90   .02  5.9   .01  9.2
  30 -90.0  63 143.90   .02  6.5   .01  9.8
  30 -90.0  54 143.90   .02  7.1   .01 10.4
  30 -90.0  45 143.90   .02  7.7   .01 11.0
  30 -90.0  36 143.90   .02  8.3   .01 11.6
  30 -90.0  27 143.90   .02  8.9   .01   .2
  30 -90.0  18 143.90   .02  9.5   .01   .8
  30 -90.0   9 143.90   .02 10.1   .01  1.4
  30 -82.5 360 144.60   .03 12.3   .00  9.6
  30 -82.5 351 144.62   .01 15.3   .01  8.4
  30 -82.5 342 144.64   .01 17.2   .01  1.0
  30 -82.5 333 144.65   .02 15.9   .02  4.2
