  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30 110 -72.50   41.4  60.5 16.3  35.9 14.6   -4.2  69.1 22.2  37.2 17.3
  30 115 -72.50   47.1  66.4 16.6  34.1 14.2   -7.2  74.1 22.4  35.3 17.0
  30 120 -72.50   51.6  70.9 16.9  32.1 13.9  -10.5  78.2 22.8  33.2 16.7
  30 125 -72.50   54.7  74.4 17.2  30.4 13.7  -13.1  81.7 23.1  31.4 16.6
  30 130 -72.50   56.6  76.9 17.4  29.2 13.6  -14.8  84.6 23.3  30.0 16.5
  30 135 -72.50   57.7  78.7 17.6  28.3 13.5  -15.7  86.9 23.5  28.9 16.4
  30 140 -72.50   58.4  79.9 17.7  27.7 13.5  -16.1  88.7 23.6  28.1 16.3
  30 145 -72.50   58.9  80.8 17.8  27.4 13.4  -16.1  90.0 23.7  27.5 16.3
  30 150 -72.50   59.1  81.4 17.8  27.2 13.4  -16.1  91.0 23.8  27.1 16.2
  30 155 -72.50   59.3  81.9 17.9  27.1 13.3  -16.0  91.7 23.8  26.8 16.2
  30 160 -72.50   59.5  82.2 17.9  27.1 13.3  -15.9  92.2 23.8  26.7 16.2
  30 165 -72.50   59.6  82.5 18.0  27.1 13.3  -15.9  92.6 23.9  26.5 16.1
  30 170 -72.50   59.7  82.8 18.0  27.0 13.3  -15.9  92.9 23.9  26.4 16.1
  30  80 -67.50    6.0   4.9 17.4   7.4 19.6     .0   4.7 23.5   7.7 22.5
  30  85 -67.50   10.2   9.5 17.4   8.1 19.6    -.1   9.5 23.5   8.8 22.5
  30  90 -67.50   16.2  16.4 17.2  16.7 17.9    -.4  17.7 23.4  18.0 20.8
  30  95 -67.50   23.5  25.4 16.9  28.2 16.9   -1.0  29.8 23.0  30.7 19.8
  30 100 -67.50   31.0  35.2 16.5  37.5 16.0   -1.9  44.0 22.6  41.3 18.9
  30 105 -67.50   38.0  44.3 16.4  42.3 15.3   -2.9  56.3 22.3  46.8 18.1
  30 110 -67.50   45.0  51.5 16.5  42.3 14.7   -4.4  64.8 22.4  46.9 17.5
  30 115 -67.50   52.2  57.6 16.8  40.1 14.2   -7.4  71.6 22.7  44.7 17.1
  30 120 -67.50   58.1  62.9 17.2  37.3 13.9  -11.1  77.8 23.0  42.0 16.8
  30 125 -67.50   62.1  67.3 17.6  34.9 13.6  -14.2  83.3 23.3  39.6 16.5
  30 130 -67.50   64.5  70.8 17.8  33.1 13.4  -16.2  87.9 23.6  37.5 16.3
  30 135 -67.50   65.9  73.4 18.0  31.7 13.3  -17.4  91.5 23.8  35.9 16.2
  30 140 -67.50   66.7  75.3 18.1  30.8 13.2  -17.8  94.2 23.9  34.7 16.1
  30 145 -67.50   67.2  76.6 18.2  30.2 13.1  -17.8  96.3 24.0  33.8 16.0
  30 150 -67.50   67.5  77.5 18.3  29.8 13.1  -17.7  97.7 24.0  33.1 15.9
  30 155 -67.50   67.7  78.2 18.4  29.6 13.0  -17.5  98.8 24.0  32.5 15.9
  30 160 -67.50   67.8  78.8 18.4  29.5 13.0  -17.2  99.7 24.1  32.2 15.8
  30 165 -67.50   67.9  79.1 18.4  29.4 13.0  -17.0 100.3 24.1  31.9 15.8
  30 170 -67.50   67.9  79.5 18.5  29.4 13.0  -16.9 100.7 24.1  31.7 15.8
