  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2    PA0     PA1%  Pp1  PA2%  Pp2    DA0
  30  80 -90.0 100.75  3.50 21.4  1.14 10.5 4.827E-03 13.68 22.0  3.31 10.4 2.529E-07
  30  75 -90.0 113.49  3.50 21.4  1.14 10.5 1.208E-02 13.68 22.0  3.31 10.4 5.620E-07
  30  70 -90.0 126.23  2.82   .1  1.30  2.0 2.742E-02 12.19  4.0  2.88  2.2 1.148E-06
  30  65 -90.0 139.03  3.75 12.2  2.05 10.3 5.756E-02 10.01  3.8  2.30   .8 2.189E-06
  30  60 -90.0 147.59  5.45   .4  1.78  2.2 1.141E-01  8.14  2.7  1.42 11.9 4.091E-06
  30  55 -90.0 154.21  4.94  3.7  1.05  2.7 2.194E-01  6.23 20.8  1.34   .7 7.524E-06
  30  50 -90.0 156.91  3.56  3.3  3.00   .2 4.129E-01  4.84  1.5  1.05  2.0 1.392E-05
  30  45 -90.0 156.40  1.00 17.6  2.85  6.5 7.741E-01  4.05   .0   .12  6.3 2.619E-05
  30  40 -90.0 147.40  1.81  3.9   .55   .2 1.482E+00  3.49  6.3   .69 11.5 5.319E-05
  30  35 -90.0 133.61  2.72 17.1   .91  6.4 2.993E+00  2.27  3.3   .53  1.0 1.185E-04
  30  30 -90.0 127.81  2.23 23.5   .34 10.9 6.370E+00   .73  2.1   .26  2.0 2.637E-04
  30  25 -90.0 127.00   .46   .9   .34  9.4 1.382E+01   .11 22.0   .04 10.2 5.758E-04
  30  20 -90.0 129.88   .08  3.2   .15  8.6 2.976E+01   .16 18.6   .02  2.2 1.212E-03
  30  15 -90.0 133.71   .01 19.7   .09  2.2 6.279E+01   .14 24.0   .06  6.3 2.484E-03
  30  10 -90.0 137.91   .01  2.5   .11 11.0 1.297E+02   .14  1.8   .10 10.4 4.975E-03
  30   5 -90.0 142.24   .03  2.7   .02  7.1 2.620E+02   .14 15.1   .15 11.4 9.743E-03
  30   0 -90.0 146.56   .03  2.7   .02  7.1 5.182E+02   .14 15.1   .15 11.4 1.870E-02
  30  80 -82.5  99.65  3.39 15.2  2.51  5.6 5.214E-03 14.42 16.1  7.07  6.8 2.750E-07
  30  75 -82.5 111.95  3.39 15.2  2.51  5.6 1.308E-02 14.42 16.1  7.07  6.8 6.140E-07
  30  70 -82.5 124.24  4.07 14.7  3.19  5.5 2.981E-02 12.17 16.5  5.98  7.8 1.264E-06
  30  65 -82.5 137.24  4.81 13.9  3.42  5.4 6.320E-02 10.14 17.1  5.20  9.1 2.430E-06
  30  60 -82.5 146.56  5.42 15.7  3.66  5.5 1.262E-01  8.57 17.7  4.80  9.8 4.550E-06
  30  55 -82.5 152.77  6.84 15.8  3.56  8.7 2.437E-01  6.94 18.5  4.36 10.2 8.434E-06
  30  50 -82.5 155.07  6.12 23.2  3.66  9.4 4.620E-01  5.69 19.0  3.63 10.5 1.576E-05
  30  45 -82.5 152.18  4.38  6.9  3.64  9.7 8.771E-01  4.61 18.8  2.81 11.3 3.050E-05
  30  40 -82.5 146.43  3.91 17.5  2.57 11.2 1.698E+00  3.40 18.9  2.06 12.0 6.133E-05
  30  35 -82.5 138.99  2.60 18.7  1.88   .1 3.386E+00  2.16 19.3  1.35   .1 1.289E-04
  30  30 -82.5 135.38  2.50 18.5  1.49 11.4 6.948E+00  1.04 19.5   .84   .2 2.715E-04
  30  25 -82.5 133.07   .95 19.2   .87   .1 1.449E+01   .56 20.0   .55   .9 5.761E-04
  30  20 -82.5 133.73   .70 17.8   .75  1.0 3.033E+01   .39 20.7   .30  2.3 1.200E-03
  30  15 -82.5 135.84   .48 20.1   .39  2.3 6.292E+01   .28 22.3   .21  6.6 2.451E-03
  30  10 -82.5 138.75   .25 18.6   .19  5.9 1.290E+02   .27  1.1   .20  7.3 4.919E-03
  30   5 -82.5 142.62   .16 14.7   .11  4.2 2.597E+02   .25  2.2   .18  8.6 9.632E-03
  30   0 -82.5 146.49   .16 14.7   .11  4.2 5.131E+02   .25  2.2   .18  8.6 1.853E-02
  30  80 -75.0 115.45  3.35 16.4  2.85   .6 1.262E-02 14.69 16.9  9.21   .2 5.731E-07
  30  75 -75.0 127.13  4.09 13.6  3.48  2.0 2.760E-02 13.60 17.2  7.94  6.7 1.143E-06
  30  70 -75.0 139.35  4.90 12.7  3.93  3.9 5.765E-02 12.49 17.5  6.53  7.6 2.181E-06
  30  65 -75.0 150.78  4.96 13.1  3.74  5.7 1.134E-01 11.82 18.0  5.39  8.4 3.970E-06
  30  60 -75.0 160.17  5.74 14.6  3.96  6.6 2.133E-01 10.93 18.5  4.25  9.0 7.030E-06
  30  55 -75.0 167.47  8.04 16.5  3.58  7.6 3.884E-01  9.30 19.0  3.14  9.8 1.224E-05
  30  50 -75.0 170.57  9.01 18.3  3.47  8.0 6.947E-01  6.98 19.5  2.29 10.9 2.151E-05
  30  45 -75.0 168.79  6.94 19.7  2.55  9.8 1.240E+00  4.89 19.7  1.66 11.6 3.880E-05
  30  40 -75.0 163.28  4.44 21.0  1.80 11.3 2.242E+00  3.69 19.4  1.19 11.8 7.252E-05
  30  35 -75.0 152.98  2.55 20.8  1.33   .2 4.172E+00  3.07 19.1   .93 11.9 1.441E-04
  30  30 -75.0 146.17  2.25 17.7  1.10 10.7 8.059E+00  2.59 19.2   .75 12.0 2.915E-04
  30  25 -75.0 140.43  1.76 18.5   .93 11.9 1.605E+01  1.89 19.5   .54   .6 6.044E-04
  30  20 -75.0 138.08  1.58 19.1   .63 11.6 3.253E+01  1.10 20.0   .29  1.0 1.246E-03
  30  15 -75.0 138.59  1.09 19.2   .29  2.9 6.627E+01   .55 21.1   .22  1.5 2.529E-03
  30  10 -75.0 140.13   .56 19.2   .20  2.3 1.343E+02   .39   .2   .17 10.4 5.070E-03
  30   5 -75.0 143.56   .39 18.4   .23  1.5 2.691E+02   .35  2.5   .15  8.9 9.917E-03
  30   0 -75.0 146.99   .39 18.4   .23  1.5 5.304E+02   .35  2.5   .15  8.9 1.909E-02
  30  80 -67.5 122.98  4.13 12.4  4.12  1.7 2.217E-02 13.02 16.8  7.96 11.9 9.499E-07
  30  75 -67.5 133.94  4.98 12.1  4.64  2.0 4.764E-02 12.27 17.4  6.07 10.3 1.878E-06
  30  70 -67.5 144.79  5.77 13.3  4.37  1.9 9.655E-02 11.67 18.1  4.88  9.4 3.529E-06
  30  65 -67.5 154.19  6.39 14.5  3.39  1.1 1.868E-01 10.90 18.9  4.30  9.2 6.422E-06
  30  60 -67.5 162.01  7.27 16.2  3.56  8.3 3.488E-01  9.70 19.5  3.59  9.3 1.142E-05
  30  55 -67.5 169.45  8.17 18.0  3.38  8.2 6.326E-01  7.98 20.1  2.93  9.5 1.980E-05
  30  50 -67.5 174.39  8.45 20.1  3.32  8.7 1.122E+00  5.87 20.4  2.24  9.9 3.405E-05
  30  45 -67.5 176.07  6.83 22.3  2.84  9.5 1.967E+00  4.42 19.9  1.50 10.3 5.907E-05
  30  40 -67.5 174.09  4.20  1.8  1.68 10.3 3.449E+00  3.90 18.9  1.02 10.7 1.047E-04
  30  35 -67.5 167.81  2.93  7.7  1.17 10.3 6.128E+00  4.08 18.6   .79 10.8 1.929E-04
  30  30 -67.5 159.62  2.09 14.6   .74 10.3 1.118E+01  4.09 19.0   .64 11.2 3.700E-04
  30  25 -67.5 153.68  2.91 18.0   .63 10.6 2.096E+01  3.37 19.5   .45 11.7 7.208E-04
  30  20 -67.5 151.81  3.14 19.0   .42   .5 3.991E+01  2.17 20.1   .33   .1 1.390E-03
  30  15 -67.5 151.24  2.46 19.5   .29  1.7 7.639E+01  1.06 21.0   .25 11.4 2.671E-03
  30  10 -67.5 150.04  1.37 19.8   .34 11.9 1.467E+02   .46   .2   .18  9.1 5.171E-03
  30   5 -67.5 149.36   .56 19.7   .41  2.1 2.834E+02   .49  3.8   .13  7.7 1.004E-02
  30   0 -67.5 148.69   .56 19.7   .41  2.1 5.491E+02   .49  3.8   .13  7.7 1.954E-02
  30  80 -60.0 126.33  5.19 12.4  4.88  1.2 2.929E-02  7.98 16.8  7.14 11.3 1.224E-06
  30  75 -60.0 136.28  5.94 12.6  4.58  1.5 6.205E-02  7.68 18.0  6.29 10.3 2.410E-06
  30  70 -60.0 144.82  6.15 14.0  4.08  1.3 1.252E-01  7.92 19.2  5.81  9.8 4.580E-06
  30  65 -60.0 151.22  6.13 16.0  3.55   .6 2.437E-01  7.59 20.4  5.47  9.6 8.538E-06
  30  60 -60.0 155.90  5.73 17.6  3.12  8.3 4.630E-01  6.60 21.2  5.17  9.6 1.574E-05
  30  55 -60.0 160.39  6.85 20.6  3.90  8.4 8.646E-01  5.11 21.5  4.47  9.8 2.863E-05
  30  50 -60.0 165.45  6.70 22.7  4.45  9.2 1.586E+00  3.53 21.0  3.37 10.1 5.093E-05
  30  45 -60.0 170.32  5.80  1.5  3.60 10.1 2.857E+00  2.96 17.7  2.18 10.4 8.893E-05
  30  40 -60.0 173.79  5.05  6.0  1.87 10.4 5.065E+00  3.51 16.9  1.45 10.5 1.542E-04
  30  35 -60.0 174.86  5.25  9.4  1.36  9.5 8.903E+00  4.33 17.8  1.10 10.5 2.691E-04
  30  30 -60.0 172.13  4.11 13.2  1.37  9.6 1.568E+01  4.59 18.8   .84 11.0 4.815E-04
  30  25 -60.0 168.27  4.37 17.4   .83 11.1 2.795E+01  3.87 19.7   .61 11.4 8.784E-04
  30  20 -60.0 166.45  4.41 19.1   .51 12.0 5.034E+01  2.50 20.4   .42 11.4 1.600E-03
  30  15 -60.0 166.19  3.34 19.9   .44 11.5 9.096E+01  1.25 21.5   .29 11.2 2.896E-03
  30  10 -60.0 164.59  2.04 20.0   .55   .3 1.649E+02   .57   .8   .16 10.2 5.299E-03
  30   5 -60.0 161.07   .94 20.5   .57  1.5 3.017E+02   .62  4.4   .20  8.1 9.911E-03
  30   0 -60.0 157.55   .94 20.5   .57  1.5 5.594E+02   .62  4.4   .20  8.1 1.879E-02
  30  80 -52.5 128.68  5.39 14.9  4.92   .4 3.263E-02  6.43 14.6  9.46 10.6 1.339E-06
  30  75 -52.5 136.49  5.26 14.7  4.53   .5 6.858E-02  5.93 22.9  8.17 10.2 2.658E-06
  30  70 -52.5 142.05  4.92 12.9  4.53 10.2 1.391E-01  5.44   .7  6.94 10.1 5.184E-06
  30  65 -52.5 145.90  5.34  5.8  4.22 10.6 2.758E-01  4.79 23.8  5.50 10.0 1.001E-05
  30  60 -52.5 147.69  4.87  4.7  3.17 10.9 5.396E-01  4.19 21.8  4.62  9.8 1.935E-05
  30  55 -52.5 150.72  4.65   .9  3.43  8.1 1.046E+00  3.25 20.3  4.17  9.9 3.681E-05
  30  50 -52.5 155.42  4.64   .6  3.32  9.3 1.994E+00  2.18 18.2  3.50 10.2 6.808E-05
  30  45 -52.5 162.36  3.89  3.3  2.54 10.1 3.711E+00  2.55 16.4  2.65 10.3 1.212E-04
  30  40 -52.5 171.30  3.97  7.1  1.65  9.3 6.698E+00  3.53 16.6  2.05 10.4 2.070E-04
  30  35 -52.5 178.38  5.08 10.2  1.92  9.4 1.176E+01  4.22 17.7  1.64 10.7 3.486E-04
  30  30 -52.5 181.18  4.75 13.4  1.81 10.4 2.031E+01  4.36 18.9  1.21 11.0 5.928E-04
  30  25 -52.5 180.19  4.88 17.2  1.16 10.8 3.501E+01  3.70 19.9   .84 11.3 1.028E-03
  30  20 -52.5 179.07  4.97 19.2   .81 11.1 6.055E+01  2.46 20.8   .57 11.5 1.789E-03
  30  15 -52.5 178.68  3.92 20.1   .74   .1 1.050E+02  1.25 22.2   .35 11.4 3.109E-03
  30  10 -52.5 177.26  2.41 20.5   .77  1.1 1.825E+02   .65  1.6   .22 10.1 5.450E-03
  30   5 -52.5 173.98  1.21 20.3   .92  1.6 3.196E+02   .74  4.7   .35  8.6 9.724E-03
  30   0 -52.5 168.66  1.14 16.7   .66  2.7 5.492E+02   .85  5.0   .31  8.5 1.726E-02
  30  80 -45.0 128.96  6.08 16.2  5.36 11.2 3.362E-02  8.19  8.6 11.28 10.4 1.376E-06
  30  75 -45.0 135.43  5.96 18.5  5.76  9.6 7.080E-02  7.62  7.3  9.30 10.4 2.765E-06
  30  70 -45.0 140.40  6.34  4.3  6.63  9.4 1.446E-01  6.35  7.6  7.23 10.6 5.453E-06
  30  65 -45.0 142.44  7.38  6.4  5.75 11.1 2.904E-01  5.03  9.5  4.85 10.8 1.080E-05
  30  60 -45.0 142.87  6.93  7.7  4.03  1.5 5.800E-01  4.10 17.0  3.70 10.2 2.153E-05
  30  55 -45.0 143.85  4.84  9.3  2.81  7.0 1.155E+00  4.23 18.7  4.01 10.0 4.257E-05
  30  50 -45.0 148.40  3.47 19.8  3.01  9.3 2.268E+00  3.99 19.1  3.44 10.3 8.097E-05
  30  45 -45.0 157.29  2.89 23.4  2.28 10.1 4.322E+00  3.42 18.6  2.60 10.5 1.455E-04
  30  40 -45.0 168.23  2.40  3.7  1.52  9.8 7.919E+00  3.40 18.0  2.08 10.7 2.492E-04
  30  35 -45.0 178.10  2.63 10.5  1.78  9.6 1.398E+01  3.72 18.3  1.72 10.9 4.154E-04
  30  30 -45.0 184.67  3.94 13.6  2.00 10.4 2.405E+01  3.77 19.1  1.30 11.3 6.890E-04
  30  25 -45.0 187.29  4.59 17.0  1.47 11.0 4.082E+01  3.27 20.2   .90 11.6 1.153E-03
  30  20 -45.0 188.38  4.94 19.2  1.06 11.7 6.893E+01  2.26 21.3   .60 11.7 1.936E-03
  30  15 -45.0 188.46  4.14 20.4   .90   .7 1.162E+02  1.22 22.8   .37 11.4 3.263E-03
  30  10 -45.0 187.67  2.75 20.8   .98  1.5 1.961E+02   .71  2.3   .31  9.8 5.531E-03
  30   5 -45.0 185.46  1.39 20.5  1.00  2.5 3.323E+02   .86  5.1   .47  8.9 9.484E-03
  30   0 -45.0 182.94  1.65 17.6   .93  2.3 5.576E+02  1.00  5.3   .39  8.7 1.616E-02
  30  80 -37.5 129.55  7.09 18.3  5.35  9.7 3.319E-02  9.95  6.8 13.08 10.5 1.353E-06
  30  75 -37.5 134.70  7.04 22.9  8.13  9.8 6.994E-02  9.13  7.3 10.31 10.7 2.746E-06
  30  70 -37.5 138.85  8.28  4.1  8.05 10.3 1.438E-01  7.57  8.6  7.00 11.1 5.482E-06
  30  65 -37.5 140.77 10.34  6.7  6.27 11.8 2.910E-01  5.57 11.9  4.09 11.2 1.097E-05
  30  60 -37.5 139.80 10.35  8.9  3.95  3.5 5.890E-01  5.47 17.0  3.32 10.3 2.239E-05
  30  55 -37.5 139.03  5.96 11.4  3.64  8.3 1.197E+00  6.68 19.2  3.23 10.6 4.567E-05
  30  50 -37.5 144.18  3.88 17.4  2.46 10.6 2.403E+00  6.47 20.1  2.44 11.2 8.821E-05
  30  45 -37.5 153.81  5.25 21.0  1.75 11.8 4.654E+00  4.88 20.3  1.82 11.2 1.601E-04
  30  40 -37.5 164.58  4.00 22.9  1.16 11.5 8.645E+00  3.43 19.5  1.58 11.1 2.780E-04
  30  35 -37.5 175.45  1.77  3.7  1.28  9.6 1.543E+01  3.07 18.8  1.38 11.3 4.653E-04
