  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -90.0 360 143.89   .02 11.2   .01  1.5     .0   .0 12.0   .0 12.0     .0   .0 12.0   .0 12.0
  30 -90.0 351 143.89   .02 11.8   .01  2.1     .0   .0 12.6   .0   .6     .0   .0 12.6   .0   .6
  30 -90.0 342 143.89   .02 12.4   .01  2.7     .0   .0 13.2   .0  1.2     .0   .0 13.2   .0  1.2
  30 -90.0 333 143.89   .02 13.0   .01  3.3     .0   .0 13.8   .0  1.8     .0   .0 13.8   .0  1.8
  30 -90.0 324 143.89   .02 13.6   .01  3.9     .0   .0 14.4   .0  2.4     .0   .0 14.4   .0  2.4
  30 -90.0 315 143.89   .02 14.2   .01  4.5     .0   .0 15.0   .0  3.0     .0   .0 15.0   .0  3.0
  30 -90.0 306 143.89   .02 14.8   .01  5.1     .0   .0 15.6   .0  3.6     .0   .0 15.6   .0  3.6
  30 -90.0 297 143.89   .02 15.4   .01  5.7     .0   .0 16.2   .0  4.2     .0   .0 16.2   .0  4.2
  30 -90.0 288 143.89   .02 16.0   .01  6.3     .0   .0 16.8   .0  4.8     .0   .0 16.8   .0  4.8
  30 -90.0 279 143.89   .02 16.6   .01  6.9     .0   .0 17.4   .0  5.4     .0   .0 17.4   .0  5.4
  30 -90.0 270 143.89   .02 17.2   .01  7.5     .0   .0 18.0   .0  6.0     .0   .0 18.0   .0  6.0
  30 -90.0 261 143.89   .02 17.8   .01  8.1     .0   .0 18.6   .0  6.6     .0   .0 18.6   .0  6.6
  30 -90.0 252 143.89   .02 18.4   .01  8.7     .0   .0 19.2   .0  7.2     .0   .0 19.2   .0  7.2
  30 -90.0 243 143.89   .02 19.0   .01  9.3     .0   .0 19.8   .0  7.8     .0   .0 19.8   .0  7.8
  30 -90.0 234 143.89   .02 19.6   .01  9.9     .0   .0 20.4   .0  8.4     .0   .0 20.4   .0  8.4
  30 -90.0 225 143.89   .02 20.2   .01 10.5     .0   .0 21.0   .0  9.0     .0   .0 21.0   .0  9.0
  30 -90.0 216 143.89   .02 20.8   .01 11.1     .0   .0 21.6   .0  9.6     .0   .0 21.6   .0  9.6
  30 -90.0 207 143.89   .02 21.4   .01 11.7     .0   .0 22.2   .0 10.2     .0   .0 22.2   .0 10.2
  30 -90.0 198 143.89   .02 22.0   .01   .3     .0   .0 22.8   .0 10.8     .0   .0 22.8   .0 10.8
  30 -90.0 189 143.89   .02 22.6   .01   .9     .0   .0 23.4   .0 11.4     .0   .0 23.4   .0 11.4
  30 -90.0 180 143.89   .02 23.2   .01  1.5     .0   .0   .0   .0   .0     .0   .0   .0   .0   .0
