  Ls Hgt   Lat  TA0K   TA1K  Tp1  TA2K  Tp2    PA0     PA1%  Pp1  PA2%  Pp2    DA0
  30  80 -90.0 105.63  3.77 12.3  4.21  4.8 8.272E-03  7.90 23.5 10.63   .1 4.132E-07
  30  75 -90.0 121.84  3.77 12.3  4.21  4.8 1.966E-02  7.90 23.5 10.63   .1 8.513E-07
  30  70 -90.0 138.05  4.67 22.9  6.83  9.4 4.193E-02  5.74   .3  8.65  9.8 1.605E-06
  30  65 -90.0 151.06  3.60   .8  8.74   .4 8.284E-02  5.35  2.7  6.97  2.3 2.906E-06
  30  60 -90.0 163.09  3.71  5.8  8.31   .1 1.549E-01  6.12  8.6  5.76 10.5 5.034E-06
  30  55 -90.0 170.54  2.91 14.1  5.93   .0 2.797E-01  7.15  9.4  4.73   .8 8.682E-06
  30  50 -90.0 173.89  3.62 19.0  3.62  1.4 4.952E-01  6.92 22.9  3.67  4.3 1.506E-05
  30  45 -90.0 173.63  6.05 20.4  4.30  8.3 8.725E-01  5.38 23.7  2.39   .8 2.658E-05
  30  40 -90.0 168.35  2.58  1.2  2.05 10.1 1.552E+00  4.17  3.1  1.50  2.7 4.877E-05
  30  35 -90.0 156.03  2.16  5.2  1.47   .9 2.844E+00  3.41  3.5  1.30 11.9 9.643E-05
  30  30 -90.0 139.29  3.71 20.8  2.48  8.1 5.537E+00  2.23  6.6   .89 11.6 2.104E-04
  30  25 -90.0 128.71  1.75 17.1   .70  8.6 1.165E+01   .64   .2   .39  9.4 4.787E-04
  30  20 -90.0 129.65   .39 21.4   .32  2.5 2.498E+01   .26 16.2   .28  7.1 1.019E-03
  30  15 -90.0 132.94   .11 21.9   .24   .0 5.285E+01   .30  3.8   .20 10.8 2.103E-03
  30  10 -90.0 136.90   .02 15.0   .05  1.4 1.097E+02   .31 21.4   .15 11.7 4.239E-03
  30   5 -90.0 141.19   .03 12.3   .02 10.6 2.227E+02   .30 14.4   .14  9.9 8.346E-03
  30   0 -90.0 145.49   .03 12.3   .02 10.6 4.426E+02   .30 14.4   .14  9.9 1.610E-02
  30  80 -82.5 103.91  2.57 13.0  2.32  2.2 8.710E-03 11.63 14.6  9.71  2.5 4.403E-07
  30  75 -82.5 116.65  3.30 12.3  3.38  2.2 1.997E-02 10.98 15.6  9.02  1.3 9.011E-07
  30  70 -82.5 132.05  3.91 11.8  3.57  2.2 4.403E-02  9.65 16.2  7.40   .8 1.758E-06
  30  65 -82.5 145.34  4.77 12.0  3.72  2.6 8.937E-02  8.52 16.9  6.36 12.0 3.247E-06
  30  60 -82.5 157.89  4.40 12.4  3.59  3.2 1.709E-01  7.61 17.5  5.55 11.1 5.722E-06
  30  55 -82.5 167.48  4.90 14.3  3.84  3.4 3.128E-01  6.68 18.1  4.91 10.6 9.871E-06
  30  50 -82.5 172.35  4.83 15.3  4.22  6.4 5.582E-01  5.72 18.6  4.27 10.6 1.712E-05
  30  45 -82.5 171.75  4.35 16.8  3.81  9.2 9.894E-01  4.89 19.0  3.52 10.9 3.047E-05
  30  40 -82.5 167.82  3.73 18.6  3.80 10.0 1.768E+00  4.03 19.4  2.69 11.3 5.573E-05
  30  35 -82.5 158.25  3.12 20.1  2.90 10.1 3.231E+00  3.10 19.4  1.93   .2 1.080E-04
  30  30 -82.5 146.38  2.88 19.5  1.61  1.1 6.164E+00  2.11 19.1  1.49   .8 2.228E-04
  30  25 -82.5 136.98  1.91 18.7  1.30  1.1 1.241E+01  1.14 19.1  1.11   .6 4.793E-04
  30  20 -82.5 133.95  1.12 18.5  1.33   .8 2.568E+01   .55 20.0   .63   .5 1.014E-03
  30  15 -82.5 134.87   .47 19.2   .71   .8 5.343E+01   .37 21.9   .28  9.2 2.096E-03
  30  10 -82.5 137.57   .23 16.1   .28  7.8 1.102E+02   .36  1.1   .23  7.8 4.236E-03
  30   5 -82.5 141.42   .11 12.4   .09  5.8 2.231E+02   .35  1.6   .24  8.2 8.347E-03
