  Ls Hgt   Lat   TA0K   TA1K  Tp1  TA2K  Tp2     DA0     DA1%  Dp1  DA2%  Dp2     PA0
 030  -1 -82.5  130.00   .83 11.2   .59  5.4  2.824E-02   .72 12.0   .49  6.0  6.971E+02
 030  -2 -82.5  130.00   .83 11.2   .59  5.4  3.125E-02   .72 12.0   .49  6.0  7.714E+02
 030  -3 -82.5  130.00   .83 11.2   .59  5.4  3.458E-02   .72 12.0   .49  6.0  8.537E+02
 030  -4 -82.5  130.00   .83 11.2   .59  5.4  3.827E-02   .72 12.0   .49  6.0  9.447E+02
 030  -5 -82.5  130.00   .83 11.2   .59  5.4  4.235E-02   .72 12.0   .49  6.0  1.045E+03
 030  80 -75.0  165.00  2.55 13.3  2.24  5.5  4.941E-07  4.60 18.6  1.70  6.7  1.545E-02
 030  75 -75.0  165.00  2.55 13.3  2.24  5.5  9.109E-07  4.60 18.6  1.70  6.7  2.848E-02
 030  70 -75.0  162.18  2.55 13.3  2.24  5.5  1.691E-06  4.60 18.6  1.70  6.7  5.197E-02
 030  65 -75.0  155.04  2.58 15.6  2.43  5.3  3.163E-06  4.50 17.9  1.86  7.1  9.292E-02
 030  60 -75.0  149.84  3.00 17.1  1.91  5.7  6.225E-06  3.19 18.7  1.51  7.1  1.769E-01
 030  55 -75.0  145.33  3.02 17.7  1.85  6.7  1.251E-05  2.21 13.6  1.33  6.2  3.449E-01
 030  50 -75.0  140.89  2.79 17.8  1.34  7.2  2.568E-05  1.80 12.4  1.39  4.7  6.870E-01
 030  45 -75.0  137.90  1.76 14.8  1.02  6.1  5.317E-05  1.24 13.7  1.08  5.9  1.393E+00
 030  40 -75.0  133.63  1.16 12.2  1.09  6.4  1.132E-04   .82 13.2   .85  5.6  2.875E+00
 030  35 -75.0  129.65   .80 14.5  1.02  5.1  2.465E-04   .58  9.6   .63  6.4  6.074E+00
 030  30 -75.0  129.62   .51 14.0   .52  6.0  5.267E-04   .45 12.7   .43  6.1  1.298E+01
 030  25 -75.0  133.66   .38  9.0   .30  5.2  1.079E-03   .44 12.4   .31  5.8  2.743E+01
 030  20 -75.0  142.22   .34 17.1   .21  5.3  2.067E-03   .38  7.5   .18  6.5  5.591E+01
 030  15 -75.0  152.66   .22 17.3   .17  5.9  3.757E-03   .34  5.8   .13  6.1  1.091E+02
 030  10 -75.0  165.98   .18 15.7   .14  6.5  6.417E-03   .32  6.5   .11  6.9  2.025E+02
 030   9 -75.0  168.92   .20 16.2   .15  6.2  7.087E-03   .30  5.5   .11  6.7  2.275E+02
 030   8 -75.0  171.84   .25 13.4   .17  6.1  7.829E-03   .29  5.7   .12  6.6  2.557E+02
 030   7 -75.0  174.41   .23 12.5   .17  6.8  8.645E-03   .28  4.4   .13  6.4  2.865E+02
 030   6 -75.0  176.74   .25 11.6   .18  5.9  9.544E-03   .27  5.6   .14  6.4  3.205E+02
 030   5 -75.0  178.28   .29  9.7   .20  6.3  1.058E-02   .26  6.3   .15  5.5  3.583E+02
 030   4 -75.0  178.53   .34  7.7   .28  7.3  1.180E-02   .23  9.1   .18  4.9  4.001E+02
 030   3 -75.0  174.24  1.04  9.8   .45  7.2  1.351E-02   .61  9.7   .30  4.6  4.473E+02
 030   2 -75.0  157.66  1.94 11.4   .58  7.1  1.659E-02  1.37  9.8   .40  5.1  4.966E+02
 030   1 -75.0  141.08  1.73 11.4   .51  7.1  2.058E-02  1.37  9.8   .40  5.1  5.513E+02
 030   0 -75.0  130.00  1.60 11.4   .47  7.1  2.459E-02  1.37  9.8   .40  5.1  6.069E+02
 030  -1 -75.0  130.00  1.60 11.4   .47  7.1  2.684E-02  1.37  9.8   .40  5.1  6.626E+02
 030  -2 -75.0  130.00  1.60 11.4   .47  7.1  2.931E-02  1.37  9.8   .40  5.1  7.234E+02
 030  -3 -75.0  130.00  1.60 11.4   .47  7.1  3.200E-02  1.37  9.8   .40  5.1  7.898E+02
 030  -4 -75.0  130.00  1.60 11.4   .47  7.1  3.493E-02  1.37  9.8   .40  5.1  8.624E+02
 030  -5 -75.0  130.00  1.60 11.4   .47  7.1  3.814E-02  1.37  9.8   .40  5.1  9.415E+02
 030  80 -67.5  165.00  2.88 14.0  2.78  4.7  5.254E-07  6.14 17.9  2.24  6.8  1.636E-02
 030  75 -67.5  165.00  2.88 14.0  2.78  4.7  1.012E-06  6.14 17.9  2.24  6.8  3.152E-02
 030  70 -67.5  159.18  2.88 14.0  2.78  4.7  1.975E-06  6.14 17.9  2.24  6.8  5.936E-02
 030  65 -67.5  151.87  3.00 13.6  2.87  6.0  3.841E-06  6.90 16.9  2.49  6.2  1.099E-01
 030  60 -67.5  149.50  3.44 15.3  1.97  5.4  7.465E-06  5.49 15.5  2.02  6.0  2.114E-01
 030  55 -67.5  147.96  4.72 17.2  1.59  5.9  1.462E-05  3.71 12.1  1.57  6.4  4.104E-01
 030  50 -67.5  145.79  4.56 18.6  1.28  6.7  2.900E-05  2.73 12.5  1.08  6.3  8.030E-01
 030  45 -67.5  144.05  3.20 13.7  1.11  7.3  5.789E-05  1.82 12.9   .64  6.1  1.584E+00
 030  40 -67.5  139.36  2.00 11.4   .77  5.8  1.198E-04  1.15 14.7   .42  5.9  3.172E+00
 030  35 -67.5  134.78  1.17 13.9   .55  6.5  2.540E-04   .82 13.3   .33  5.0  6.507E+00
 030  30 -67.5  133.40   .74 13.7   .46  6.6  5.346E-04   .80 12.5   .31  5.3  1.356E+01
 030  25 -67.5  136.43   .55 15.1   .30  4.5  1.084E-03   .58 11.8   .23  6.3  2.813E+01
 030  20 -67.5  144.18   .46 16.6   .18  4.6  2.066E-03   .52  9.1   .18  5.6  5.666E+01
 030  15 -67.5  154.15   .47 17.2   .17  4.3  3.737E-03   .54  5.4   .15  6.3  1.096E+02
 030  10 -67.5  166.87   .35 17.6   .13  5.1  6.386E-03   .46  4.5   .14  7.4  2.026E+02
 030   9 -67.5  169.69   .31 16.4   .12  4.8  7.052E-03   .43  4.4   .14  7.8  2.275E+02
 030   8 -67.5  172.51   .30 15.1   .15  5.2  7.787E-03   .40  4.9   .13  8.0  2.554E+02
 030   7 -67.5  175.10   .30 11.7   .18  5.1  8.601E-03   .39  6.8   .14  8.1  2.863E+02
 030   6 -67.5  177.12   .27 13.2   .22  5.1  9.507E-03   .40  5.6   .15  7.2  3.200E+02
 030   5 -67.5  178.78   .30 14.4   .25  5.2  1.053E-02   .44  5.1   .17  6.9  3.576E+02
 030   4 -67.5  179.14   .42 13.8   .25  5.6  1.173E-02   .48  5.7   .17  5.5  3.992E+02
 030   3 -67.5  177.26   .68 14.8   .27  5.7  1.324E-02   .62  6.6   .19  4.7  4.458E+02
 030   2 -67.5  168.61  1.04 10.6   .32  6.1  1.560E-02   .72  9.1   .23  5.4  4.992E+02
 030   1 -67.5  151.41   .56 22.3   .68 10.0  1.896E-02   .47  8.7   .49  4.1  5.455E+02
 030   0 -67.5  134.21   .49 22.3   .60 10.0  2.339E-02   .47  8.7   .49  4.1  5.960E+02
 030  -1 -67.5  130.00   .48 22.3   .58 10.0  2.611E-02   .47  8.7   .49  4.1  6.447E+02
 030  -2 -67.5  130.00   .48 22.3   .58 10.0  2.817E-02   .47  8.7   .49  4.1  6.955E+02
 030  -3 -67.5  130.00   .48 22.3   .58 10.0  3.039E-02   .47  8.7   .49  4.1  7.504E+02
 030  -4 -67.5  130.00   .48 22.3   .58 10.0  3.279E-02   .47  8.7   .49  4.1  8.096E+02
 030  -5 -67.5  130.00   .48 22.3   .58 10.0  3.538E-02   .47  8.7   .49  4.1  8.735E+02
 030  80 -60.0  165.00  3.35 12.0  4.13  3.7  5.754E-07  7.91 14.8  2.27  7.4  1.791E-02
 030  75 -60.0  161.61  3.35 12.0  4.13  3.7  1.151E-06  7.91 14.8  2.27  7.4  3.507E-02
 030  70 -60.0  154.16  3.35 12.0  4.13  3.7  2.307E-06  7.91 14.8  2.27  7.4  6.712E-02
 030  65 -60.0  146.71  3.88 12.9  4.39  4.0  4.653E-06  8.32 13.0  3.58  8.5  1.285E-01
 030  60 -60.0  146.82  4.84 15.2  2.63  4.6  9.082E-06  6.71 14.9  2.91  8.7  2.521E-01
 030  55 -60.0  148.03  5.61 16.9  1.99  6.1  1.757E-05  5.02 12.2  2.31  7.8  4.929E-01
 030  50 -60.0  149.30  5.93 16.7  1.67  7.8  3.375E-05  3.41 11.1  1.30  6.9  9.567E-01
 030  45 -60.0  149.74  4.65 11.6  1.48  8.5  6.499E-05  2.30 11.1   .77  5.7  1.848E+00
 030  40 -60.0  145.64  2.48 11.0  1.08  7.6  1.301E-04  1.26 16.2   .54  5.8  3.599E+00
 030  35 -60.0  141.05  1.66 11.6   .89  5.4  2.669E-04  1.32 17.5   .48  5.6  7.153E+00
 030  30 -60.0  138.24   .84 13.4   .62  4.9  5.512E-04  1.18 15.2   .42  6.3  1.448E+01
 030  25 -60.0  140.43   .68 16.6   .31  7.7  1.099E-03   .90 11.9   .22  4.1  2.936E+01
 030  20 -60.0  147.41   .79 16.7   .31  4.9  2.072E-03   .68 10.0   .18  5.1  5.812E+01
 030  15 -60.0  156.65   .72 17.3   .23  5.1  3.725E-03   .60  6.7   .20  6.7  1.110E+02
 030  10 -60.0  168.58   .57 18.0   .18  4.5  6.348E-03   .67  4.6   .19  7.2  2.035E+02
 030   9 -60.0  171.35   .55 17.8   .18  4.2  7.010E-03   .68  4.6   .19  7.3  2.284E+02
 030   8 -60.0  174.13   .51 17.6   .19  4.4  7.734E-03   .69  4.6   .18  7.4  2.560E+02
 030   7 -60.0  176.69   .46 17.0   .20  4.6  8.533E-03   .70  4.6   .18  7.0  2.866E+02
 030   6 -60.0  178.83   .43 16.8   .22  4.8  9.419E-03   .67  4.8   .18  7.4  3.201E+02
 030   5 -60.0  180.36   .45 16.9   .24  5.3  1.043E-02   .63  5.1   .18  6.9  3.574E+02
 030   4 -60.0  180.73   .52 16.0   .24  4.6  1.161E-02   .60  5.4   .19  6.8  3.986E+02
 030   3 -60.0  179.28   .69 13.9   .29  4.9  1.306E-02   .65  6.7   .22  6.8  4.446E+02
 030   2 -60.0  173.25  1.63 16.7   .78  4.0  1.512E-02  1.24  6.0   .55  7.8  4.970E+02
 030   1 -60.0  171.52  2.50 14.5   .92  4.4  1.653E-02  1.84  4.4   .54  8.3  5.375E+02
 030   0 -60.0  175.38  2.64 17.5   .90  4.4  1.803E-02  1.92  5.9   .47 10.0  6.006E+02
 030  -1 -60.0  179.24  2.69 17.5   .92  4.4  1.973E-02  1.92  5.9   .47 10.0  6.711E+02
 030  -2 -60.0  183.10  2.75 17.5   .94  4.4  2.158E-02  1.92  5.9   .47 10.0  7.499E+02
 030  -3 -60.0  186.96  2.81 17.5   .96  4.4  2.362E-02  1.92  5.9   .47 10.0  8.379E+02
 030  -4 -60.0  190.82  2.87 17.5   .97  4.4  2.585E-02  1.92  5.9   .47 10.0  9.363E+02
 030  -5 -60.0  194.68  2.93 17.5   .99  4.4  2.832E-02  1.92  5.9   .47 10.0  1.046E+03
 030  80 -52.5  165.00  5.02 11.8  4.78  3.8  6.115E-07  8.58 11.6  2.44  5.7  1.907E-02
 030  75 -52.5  157.38  5.02 11.8  4.78  3.8  1.276E-06  8.58 11.6  2.44  5.7  3.795E-02
 030  70 -52.5  149.56  5.02 11.8  4.78  3.8  2.626E-06  8.58 11.6  2.44  5.7  7.427E-02
 030  65 -52.5  141.74  4.89 12.6  4.84  3.8  5.432E-06  8.37 13.0  3.61  8.8  1.453E-01
 030  60 -52.5  144.94  5.96 15.1  3.16  4.5  1.057E-05  6.64 14.8  3.45  8.0  2.897E-01
 030  55 -52.5  146.70  5.67 12.8  2.36  5.7  2.054E-05  4.63 14.4  2.59  8.1  5.706E-01
 030  50 -52.5  149.25  5.66 13.3  2.07  6.6  3.928E-05  3.16  7.5  1.64  6.9  1.112E+00
 030  45 -52.5  151.43  4.59 11.8  1.65  7.9  7.450E-05  2.38 10.8  1.03  7.4  2.141E+00
 030  40 -52.5  149.92  2.74  9.3  1.28  6.9  1.445E-04  1.73 16.3   .83  7.2  4.116E+00
 030  35 -52.5  146.54  2.37 10.6  1.18  7.3  2.872E-04  2.06 18.7   .70  4.8  7.994E+00
 030  30 -52.5  143.29  1.42 13.8   .72  7.6  5.792E-04  1.81 14.7   .45  4.5  1.577E+01
 030  25 -52.5  145.01  1.02 15.1   .55  4.6  1.132E-03  1.17  9.4   .24  5.2  3.122E+01
 030  20 -52.5  151.53  1.01 17.2   .39  4.1  2.104E-03   .81 10.1   .22  6.4  6.063E+01
