  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2
  30 -75.0  63 145.43   .01  7.1   .01  8.3
  30 -75.0  54 145.43   .01  3.4   .02  8.9
  30 -75.0  45 145.29   .02  1.4   .01  9.4
  30 -75.0  36 145.16   .02  4.6   .01  8.9
  30 -75.0  27 145.11   .02  6.9   .01 10.4
  30 -75.0  18 145.08   .02  7.3   .01 10.3
  30 -75.0   9 145.06   .02 11.1   .01 11.0
  30 -67.5 360 145.72   .01  8.2   .01 10.0
  30 -67.5 351 145.87   .03 23.9   .01  8.4
  30 -67.5 342 145.98   .04  3.3   .01  5.8
  30 -67.5 333 145.87   .02  4.1   .01  7.2
  30 -67.5 324 145.65   .04  4.0   .00  7.1
  30 -67.5 315 145.54   .04  8.6   .01  7.6
  30 -67.5 306 145.53   .01 20.3   .01  8.1
  30 -67.5 297 145.54   .04  4.6   .01  7.3
  30 -67.5 288 145.54   .01 16.4   .02  7.8
  30 -67.5 279 145.57   .07   .3   .01  7.1
  30 -67.5 270 145.61   .07  4.6   .02  6.8
  30 -67.5 261 145.66   .02  4.4   .02  8.5
  30 -67.5 252 145.69   .03  4.0   .00  8.8
  30 -67.5 243 145.73   .01  6.9   .00  6.1
  30 -67.5 234 145.78   .03  1.4   .00  9.8
  30 -67.5 225 145.77   .04  3.3   .01 11.2
  30 -67.5 216 145.66   .02  4.5   .01  9.3
  30 -67.5 207 145.49   .01  2.4   .01  8.6
  30 -67.5 198 145.39   .02   .9   .00  6.1
  30 -67.5 189 145.44   .03  1.4   .01  5.4
  30 -67.5 180 145.54   .04  1.3   .00  3.9
  30 -67.5 171 145.60   .07  2.5   .00 10.2
  30 -67.5 162 145.60   .08  6.1   .01  8.5
  30 -67.5 153 145.62   .02  9.7   .01  7.2
  30 -67.5 144 145.65   .04  1.8   .01  6.4
  30 -67.5 135 145.72   .06  4.8   .01  7.6
  30 -67.5 126 145.82   .04  4.8   .01  7.3
  30 -67.5 117 145.97   .04  3.8   .01  7.4
  30 -67.5 108 146.07   .04  4.6   .00 11.1
  30 -67.5  99 145.99   .03  4.3   .00  8.0
  30 -67.5  90 145.74   .03  4.8   .01  6.0
  30 -67.5  81 145.55   .02  5.8   .02  6.5
  30 -67.5  72 145.61   .03  4.7   .02  6.5
  30 -67.5  63 145.79   .02  5.3   .03  7.3
  30 -67.5  54 145.98   .03  1.9   .02  7.5
  30 -67.5  45 146.03   .05  3.7   .03  7.8
  30 -67.5  36 145.92   .05  5.2   .02  8.2
  30 -67.5  27 145.77   .05  7.2   .02  8.6
  30 -67.5  18 145.70   .02 10.0   .02  9.1
  30 -67.5   9 145.67   .01  4.2   .01  9.2
  30 -60.0 360 146.14   .06 14.5   .07  3.0
  30 -60.0 351 146.17   .03  5.1   .01  7.2
  30 -60.0 342 146.15   .05  5.2   .01  7.8
  30 -60.0 333 146.10   .04  6.0   .02  8.2
  30 -60.0 324 145.93   .04  5.2   .01  8.3
  30 -60.0 315 145.76   .06  5.9   .02  7.5
  30 -60.0 306 145.74   .05  8.9   .02  8.1
  30 -60.0 297 145.80   .02 16.5   .02  8.4
  30 -60.0 288 145.75   .05   .3   .02  8.0
  30 -60.0 279 145.74   .06  4.2   .03  7.8
  30 -60.0 270 145.92   .03  4.6   .03  8.4
  30 -60.0 261 146.10   .06  2.8   .02  8.7
  30 -60.0 252 146.09   .05  5.9   .03  8.9
  30 -60.0 243 146.23   .02  4.5   .01  9.0
  30 -60.0 234 146.61   .04  4.4   .01  7.5
  30 -60.0 225 146.79   .04  5.4   .01  8.3
  30 -60.0 216 146.58   .03  5.1   .01  7.0
  30 -60.0 207 146.17   .04  5.0   .01  6.7
  30 -60.0 198 145.88   .03  7.4   .01  6.6
  30 -60.0 189 145.85   .07 15.4   .07  2.9
  30 -60.0 180 146.10   .37 14.4   .38  2.4
  30 -60.0 171 146.64  1.23 13.9   .92  2.0
  30 -60.0 162 146.62  1.30 14.0  1.04  2.1
  30 -60.0 153 146.31   .75 14.4   .71  2.6
  30 -60.0 144 146.34   .46 14.2   .39  2.5
  30 -60.0 135 146.47   .05  4.4   .04  7.6
  30 -60.0 126 146.88   .05  5.0   .02  8.2
  30 -60.0 117 147.80  1.16 14.0   .98  2.1
  30 -60.0 108 147.62   .56 14.0   .49  2.3
  30 -60.0  99 148.78  3.05 13.9  2.30  1.9
  30 -60.0  90 149.55  5.33 13.8  3.57  1.7
  30 -60.0  81 149.60  6.33 13.8  4.23  1.7
  30 -60.0  72 148.94  5.61 14.0  4.00  1.9
  30 -60.0  63 148.34  4.43 14.1  3.48  2.0
  30 -60.0  54 148.64  4.44 14.1  3.43  2.0
  30 -60.0  45 147.92  2.75 14.1  2.17  2.1
  30 -60.0  36 147.35  1.89 14.1  1.57  2.2
  30 -60.0  27 147.01  1.66 14.1  1.37  2.2
  30 -60.0  18 147.00  1.85 14.1  1.52  2.1
  30 -60.0   9 146.62  1.14 14.2   .99  2.3
  30 -52.5 360 160.02 13.53 14.2  6.82  1.1
  30 -52.5 351 159.82 13.25 14.2  6.66  1.1
  30 -52.5 342 159.46 13.40 14.2  6.74  1.1
  30 -52.5 333 159.67 13.60 14.2  6.82  1.1
  30 -52.5 324 159.59 13.84 14.2  6.91  1.1
  30 -52.5 315 159.87 14.13 14.2  6.99  1.1
  30 -52.5 306 159.86 13.88 14.2  6.89  1.1
  30 -52.5 297 160.19 13.59 14.2  6.82  1.1
  30 -52.5 288 160.35 14.20 14.1  7.01  1.1
  30 -52.5 279 160.40 14.47 14.2  7.18  1.1
  30 -52.5 270 159.97 13.96 14.2  6.98  1.1
  30 -52.5 261 159.68 13.71 14.2  6.79  1.1
  30 -52.5 252 158.99 13.41 14.2  6.81  1.1
  30 -52.5 243 158.37 12.18 14.2  6.21  1.1
  30 -52.5 234 157.40 10.18 14.3  5.18  1.1
  30 -52.5 225 157.05  9.35 14.4  4.77  1.1
  30 -52.5 216 157.33 10.20 14.3  5.33  1.1
  30 -52.5 207 158.59 11.87 14.2  6.17  1.1
  30 -52.5 198 159.07 12.31 14.1  6.44  1.1
  30 -52.5 189 160.15 12.58 14.1  6.49  1.1
  30 -52.5 180 160.46 12.71 14.1  6.49  1.1
  30 -52.5 171 161.36 12.65 14.2  6.43  1.1
  30 -52.5 162 161.25 12.89 14.1  6.52  1.1
  30 -52.5 153 161.22 12.94 14.1  6.51  1.1
  30 -52.5 144 160.29 12.08 14.1  6.02  1.1
  30 -52.5 135 160.00 10.67 14.2  5.22  1.2
  30 -52.5 126 159.86  9.45 14.2  4.62  1.2
  30 -52.5 117 161.12  8.85 14.3  4.36  1.2
  30 -52.5 108 162.20  8.76 14.2  4.37  1.1
  30 -52.5  99 163.41  9.46 14.1  4.76  1.1
  30 -52.5  90 163.58 10.88 14.1  5.48  1.1
  30 -52.5  81 163.06 13.00 14.1  6.61  1.0
  30 -52.5  72 162.15 14.46 14.0  7.40  1.0
  30 -52.5  63 161.86 14.66 14.0  7.50  1.0
  30 -52.5  54 161.77 14.47 14.0  7.33  1.0
  30 -52.5  45 161.86 14.27 14.0  7.26  1.0
  30 -52.5  36 161.51 14.19 14.1  7.21  1.0
  30 -52.5  27 161.28 14.14 14.1  7.18  1.1
  30 -52.5  18 160.82 13.98 14.1  7.06  1.1
  30 -52.5   9 160.58 13.86 14.1  6.99  1.1
  30 -45.0 360 173.12 18.50 14.0  8.90  1.0
  30 -45.0 351 172.53 18.34 14.0  8.86  1.0
  30 -45.0 342 172.93 18.74 14.0  9.06  1.0
  30 -45.0 333 172.93 19.16 14.0  9.20  1.0
  30 -45.0 324 173.46 19.55 14.0  9.39  1.0
  30 -45.0 315 173.63 19.71 14.0  9.41  1.0
  30 -45.0 306 174.25 19.73 14.0  9.48  1.0
  30 -45.0 297 174.43 19.65 14.0  9.45  1.0
  30 -45.0 288 174.91 20.17 13.9  9.61  1.0
  30 -45.0 279 174.58 20.69 13.9  9.89  1.0
  30 -45.0 270 174.81 20.44 13.9  9.71  1.0
