  Ls Hgt   Lat   TA0K   TA1K  Tp1  TA2K  Tp2     DA0     DA1%  Dp1  DA2%  Dp2     PA0
 030  80 -90.0  165.00   .00 14.5   .00  6.1  2.423E-07   .00 14.4   .00  6.2  7.588E-03
 030  75 -90.0  165.00   .00 14.5   .00  6.1  4.682E-07   .00 14.4   .00  6.2  1.467E-02
 030  70 -90.0  160.36   .00 14.5   .00  6.1  9.156E-07   .00 14.4   .00  6.2  2.785E-02
 030  65 -90.0  156.30   .00 14.5   .00  6.1  1.768E-06   .00 14.4   .00  6.2  5.250E-02
 030  60 -90.0  152.25   .00 14.1   .00  6.9  3.447E-06   .00 11.6   .00  5.6  9.939E-02
 030  55 -90.0  145.13   .00 16.1   .00  6.1  7.033E-06   .00 10.9   .00  6.7  1.935E-01
 030  50 -90.0  139.71   .00 13.3   .00  5.9  1.459E-05   .00 12.7   .00  6.3  3.869E-01
 030  45 -90.0  132.47   .00 11.8   .00  5.9  3.170E-05   .00 14.9   .00  5.2  7.973E-01
 030  40 -90.0  128.55   .00 11.4   .00  6.7  6.945E-05   .00 14.2   .00  4.7  1.696E+00
 030  35 -90.0  124.52   .00 15.5   .00  5.5  1.563E-04   .00  8.0   .00  5.6  3.697E+00
 030  30 -90.0  125.00   .00 14.2   .00  5.2  3.433E-04   .00  6.7   .00  5.7  8.152E+00
 030  25 -90.0  127.85   .00 11.0   .00  3.4  7.306E-04   .00 10.8   .00  7.4  1.775E+01
 030  20 -90.0  131.35   .00 13.1   .00  5.9  1.521E-03   .00  6.8   .00  7.1  3.795E+01
 030  15 -90.0  137.03   .00 11.3   .00  7.4  3.036E-03   .00  8.6   .00  4.9  7.904E+01
 030  10 -90.0  144.80   .00 10.7   .00  6.4  5.787E-03   .00  6.6   .00  4.5  1.592E+02
 030   9 -90.0  147.00   .00 11.0   .00  6.6  6.517E-03   .00  9.0   .00  4.1  1.820E+02
 030   8 -90.0  149.14   .00 10.8   .00  6.7  7.346E-03   .00  8.2   .00  4.1  2.082E+02
 030   7 -90.0  150.70   .00 11.1   .00  7.0  8.288E-03   .00  8.7   .00  3.7  2.373E+02
