  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -90.0 360 143.36   .01 10.2   .01  3.3     .0   .0 12.0   .0 12.0     .0   .0 12.0   .0 12.0
  30 -90.0 351 143.36   .01 10.8   .01  3.9     .0   .0 12.6   .0   .6     .0   .0 12.6   .0   .6
  30 -90.0 342 143.36   .01 11.4   .01  4.5     .0   .0 13.2   .0  1.2     .0   .0 13.2   .0  1.2
  30 -90.0 333 143.36   .01 12.0   .01  5.1     .0   .0 13.8   .0  1.8     .0   .0 13.8   .0  1.8
  30 -90.0 324 143.36   .01 12.6   .01  5.7     .0   .0 14.4   .0  2.4     .0   .0 14.4   .0  2.4
  30 -90.0 315 143.36   .01 13.2   .01  6.3     .0   .0 15.0   .0  3.0     .0   .0 15.0   .0  3.0
  30 -90.0 306 143.36   .01 13.8   .01  6.9     .0   .0 15.6   .0  3.6     .0   .0 15.6   .0  3.6
  30 -90.0 297 143.36   .01 14.4   .01  7.5     .0   .0 16.2   .0  4.2     .0   .0 16.2   .0  4.2
  30 -90.0 288 143.36   .01 15.0   .01  8.1     .0   .0 16.8   .0  4.8     .0   .0 16.8   .0  4.8
  30 -90.0 279 143.36   .01 15.6   .01  8.7     .0   .0 17.4   .0  5.4     .0   .0 17.4   .0  5.4
  30 -90.0 270 143.36   .01 16.2   .01  9.3     .0   .0 18.0   .0  6.0     .0   .0 18.0   .0  6.0
  30 -90.0 261 143.36   .01 16.8   .01  9.9     .0   .0 18.6   .0  6.6     .0   .0 18.6   .0  6.6
  30 -90.0 252 143.36   .01 17.4   .01 10.5     .0   .0 19.2   .0  7.2     .0   .0 19.2   .0  7.2
  30 -90.0 243 143.36   .01 18.0   .01 11.1     .0   .0 19.8   .0  7.8     .0   .0 19.8   .0  7.8
  30 -90.0 234 143.36   .01 18.6   .01 11.7     .0   .0 20.4   .0  8.4     .0   .0 20.4   .0  8.4
