  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2
  30 -90.0 360 142.34   .02 11.1   .01 10.5
  30 -90.0 351 142.34   .02 11.7   .01 11.1
  30 -90.0 342 142.34   .02 12.3   .01 11.7
  30 -90.0 333 142.34   .02 12.9   .01   .3
  30 -90.0 324 142.34   .02 13.5   .01   .9
  30 -90.0 315 142.34   .02 14.1   .01  1.5
  30 -90.0 306 142.34   .02 14.7   .01  2.1
  30 -90.0 297 142.34   .02 15.3   .01  2.7
  30 -90.0 288 142.34   .02 15.9   .01  3.3
  30 -90.0 279 142.34   .02 16.5   .01  3.9
  30 -90.0 270 142.34   .02 17.1   .01  4.5
  30 -90.0 261 142.34   .02 17.7   .01  5.1
  30 -90.0 252 142.34   .02 18.3   .01  5.7
  30 -90.0 243 142.34   .02 18.9   .01  6.3
  30 -90.0 234 142.34   .02 19.5   .01  6.9
  30 -90.0 225 142.34   .02 20.1   .01  7.5
  30 -90.0 216 142.34   .02 20.7   .01  8.1
  30 -90.0 207 142.34   .02 21.3   .01  8.7
  30 -90.0 198 142.34   .02 21.9   .01  9.3
  30 -90.0 189 142.34   .02 22.5   .01  9.9
  30 -90.0 180 142.34   .02 23.1   .01 10.5
  30 -90.0 171 142.34   .02 23.7   .01 11.1
  30 -90.0 162 142.34   .02   .3   .01 11.7
  30 -90.0 153 142.34   .02   .9   .01   .3
  30 -90.0 144 142.34   .02  1.5   .01   .9
  30 -90.0 135 142.34   .02  2.1   .01  1.5
  30 -90.0 126 142.34   .02  2.7   .01  2.1
  30 -90.0 117 142.34   .02  3.3   .01  2.7
  30 -90.0 108 142.34   .02  3.9   .01  3.3
  30 -90.0  99 142.34   .02  4.5   .01  3.9
  30 -90.0  90 142.34   .02  5.1   .01  4.5
  30 -90.0  81 142.34   .02  5.7   .01  5.1
  30 -90.0  72 142.34   .02  6.3   .01  5.7
  30 -90.0  63 142.34   .02  6.9   .01  6.3
  30 -90.0  54 142.34   .02  7.5   .01  6.9
  30 -90.0  45 142.34   .02  8.1   .01  7.5
  30 -90.0  36 142.34   .02  8.7   .01  8.1
  30 -90.0  27 142.34   .02  9.3   .01  8.7
  30 -90.0  18 142.34   .02  9.9   .01  9.3
  30 -90.0   9 142.34   .02 10.5   .01  9.9
  30 -82.5 360 142.98   .02 13.8   .03  9.8
  30 -82.5 351 142.99   .02 21.0   .02 10.7
  30 -82.5 342 143.05   .02 19.2   .01 11.3
  30 -82.5 333 143.09   .02 22.8   .02 11.5
  30 -82.5 324 143.13   .01 11.9   .02  1.5
  30 -82.5 315 143.20   .02 19.2   .01  1.5
