  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -90.0 360 143.38   .01  8.2   .02  3.2     .0   .0 12.0   .0 12.0     .0   .0 12.0   .0 12.0
  30 -90.0 351 143.38   .01  8.8   .02  3.8     .0   .0 12.6   .0   .6     .0   .0 12.6   .0   .6
  30 -90.0 342 143.38   .01  9.4   .02  4.4     .0   .0 13.2   .0  1.2     .0   .0 13.2   .0  1.2
  30 -90.0 333 143.38   .01 10.0   .02  5.0     .0   .0 13.8   .0  1.8     .0   .0 13.8   .0  1.8
  30 -90.0 324 143.38   .01 10.6   .02  5.6     .0   .0 14.4   .0  2.4     .0   .0 14.4   .0  2.4
  30 -90.0 315 143.38   .01 11.2   .02  6.2     .0   .0 15.0   .0  3.0     .0   .0 15.0   .0  3.0
  30 -90.0 306 143.38   .01 11.8   .02  6.8     .0   .0 15.6   .0  3.6     .0   .0 15.6   .0  3.6
  30 -90.0 297 143.38   .01 12.4   .02  7.4     .0   .0 16.2   .0  4.2     .0   .0 16.2   .0  4.2
  30 -90.0 288 143.38   .01 13.0   .02  8.0     .0   .0 16.8   .0  4.8     .0   .0 16.8   .0  4.8
  30 -90.0 279 143.38   .01 13.6   .02  8.6     .0   .0 17.4   .0  5.4     .0   .0 17.4   .0  5.4
  30 -90.0 270 143.38   .01 14.2   .02  9.2     .0   .0 18.0   .0  6.0     .0   .0 18.0   .0  6.0
  30 -90.0 261 143.38   .01 14.8   .02  9.8     .0   .0 18.6   .0  6.6     .0   .0 18.6   .0  6.6
  30 -90.0 252 143.38   .01 15.4   .02 10.4     .0   .0 19.2   .0  7.2     .0   .0 19.2   .0  7.2
  30 -90.0 243 143.38   .01 16.0   .02 11.0     .0   .0 19.8   .0  7.8     .0   .0 19.8   .0  7.8
  30 -90.0 234 143.38   .01 16.6   .02 11.6     .0   .0 20.4   .0  8.4     .0   .0 20.4   .0  8.4
  30 -90.0 225 143.38   .01 17.2   .02   .2     .0   .0 21.0   .0  9.0     .0   .0 21.0   .0  9.0
  30 -90.0 216 143.38   .01 17.8   .02   .8     .0   .0 21.6   .0  9.6     .0   .0 21.6   .0  9.6
