  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  75 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  70 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  65 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  60 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  55 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  50 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  45 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  40 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  35 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  30 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  25 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  20 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  15 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  10 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30   5 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30   0 -90.00     .0    .0   .0    .0   .0     .0    .0   .0    .0   .0
  30  80 -82.50  126.4 127.3 20.6 135.8  6.4  -79.0 151.0   .9 127.6  2.1
  30  75 -82.50   89.5 112.6 20.2  83.7  9.5  -27.1 125.2  1.0 100.4  1.4
  30  70 -82.50   93.8  95.2 18.5  72.6  8.3  -18.6 106.0   .9  82.5  9.1
  30  65 -82.50   73.9  87.2 17.4  79.0   .4  -13.9  98.2   .4  75.6 10.8
  30  60 -82.50   61.6  68.5 18.1  64.9  7.9   -3.3  77.3 23.2  56.9   .7
  30  55 -82.50   71.3  57.1 16.7  55.5  8.1    3.8  66.5 23.4  52.7  8.8
  30  50 -82.50   48.0  55.4 17.9  45.6 11.9   -3.8  55.8   .5  48.4  2.2
  30  45 -82.50   45.3  38.2 18.5  40.6  1.8   -3.6  33.4   .8  44.0  5.1
  30  40 -82.50   45.3  27.7 15.7  32.1  3.9    1.1  31.8 23.9  31.7  7.1
  30  35 -82.50   38.4  25.9 17.0  20.7  4.3    -.1  28.0 23.7  18.9  7.3
  30  30 -82.50   40.3  24.9 18.9  19.0  9.2    2.1  26.4   .5  21.1   .6
  30  25 -82.50   29.6  17.2 18.7  13.0  5.5    1.2  20.2   .8  14.0  8.1
  30  20 -82.50   16.7   9.6 18.5  11.5  6.0    -.1  10.6   .6  10.5  8.9
  30  15 -82.50    7.3   6.0 19.8   6.6  7.9     .2   6.0  1.9   6.4 11.2
  30  10 -82.50    3.1   4.1  1.0   3.3  2.0     .2   4.0  6.5   3.2  4.9
  30   5 -82.50    1.4   5.1  1.7   5.4   .9     .0   5.1  7.2   5.4  3.8
  30   0 -82.50    1.4   5.1  1.7   5.4   .9     .0   5.1  7.2   5.4  3.8
  30  80 -75.00  130.2  63.6 19.6  73.0  6.2  -11.3  79.8   .3  67.1  9.3
  30  75 -75.00  128.3  50.1 16.9  62.2  5.3  -14.5  66.6   .6  64.6  7.6
  30  70 -75.00  134.1  54.7 18.8  52.5  6.3   -6.5  58.2 23.3  45.0  8.4
