  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30 220 -82.50  -28.1 411.5 15.7   1.5 12.6  -38.6 444.8 22.0    .9 15.6
  30 225 -82.50  -28.0 411.6 15.7   1.4 12.6  -38.7 444.8 22.0    .8 15.6
  30 230 -82.50  -28.0 411.6 15.7   1.2 12.6  -38.8 444.7 22.0    .7 15.7
  30 235 -82.50  -27.9 411.6 15.7   1.1 12.6  -38.9 444.7 22.0    .6 15.7
  30 240 -82.50  -27.9 411.6 15.7   1.0 12.6  -39.0 444.7 22.0    .5 15.7
  30  80 -77.50   65.8  18.2 21.0   8.6 21.2    1.1  16.7 26.7   8.9 11.9
  30  85 -77.50   71.3  38.8 21.0  10.4 21.2    6.6  35.9 26.7  12.6 11.9
  30  90 -77.50   77.1  54.5 20.0  14.1 20.1   13.0  52.9 25.5  17.5 11.3
  30  95 -77.50   88.9  64.0 18.1  20.6 19.7   18.1  76.4 23.8  23.6 11.1
  30 100 -77.50  102.9 104.2 16.2  29.3 20.1    3.1 137.6 22.4  31.2 11.4
  30 105 -77.50   90.8 166.1 15.9  32.3 20.5  -25.5 222.6 22.2  36.1 11.9
  30 110 -77.50   60.5 210.6 16.2  31.5 20.9  -38.2 295.8 22.3  35.2 12.3
  30 115 -77.50   33.4 242.3 16.5  27.2 21.1  -39.7 339.3 22.3  32.1 12.5
  30 120 -77.50   13.8 266.0 16.7  22.4 21.0  -38.7 359.5 22.3  29.9 12.6
  30 125 -77.50    -.1 282.1 16.7  19.9 20.8  -37.6 368.1 22.3  28.4 12.6
  30 130 -77.50  -10.0 291.9 16.7  19.0 20.2  -36.8 372.0 22.3  27.3 12.2
  30 135 -77.50  -17.0 298.6 16.7  19.0 19.8  -36.3 373.6 22.3  26.5 11.5
  30 140 -77.50  -21.7 303.2 16.6  19.2 19.7  -36.3 374.3 22.3  25.7 11.4
  30 145 -77.50  -25.3 306.0 16.5  19.6 19.6  -36.4 374.5 22.3  24.9 11.3
  30 150 -77.50  -28.1 308.1 16.5  19.9 19.8  -36.7 374.4 22.3  24.2 11.6
  30 155 -77.50  -30.0 309.5 16.4  20.3 20.2  -37.1 374.2 22.3  23.7 12.1
  30 160 -77.50  -31.5 310.4 16.3  20.7 20.7  -37.5 373.8 22.3  23.2 12.6
  30 165 -77.50  -32.6 311.1 16.3  21.2 21.1  -38.0 373.5 22.3  22.8 12.8
  30 170 -77.50  -33.4 311.5 16.2  21.7 21.3  -38.3 373.2 22.3  22.5 13.0
  30 175 -77.50  -34.1 311.9 16.2  22.1 15.4  -38.6 372.9 22.3  22.2 13.1
  30 180 -77.50  -34.6 312.1 16.1  22.5 15.4  -38.9 372.6 22.3  22.0 13.1
  30 185 -77.50  -35.0 312.3 16.1  22.8 15.4  -39.1 372.4 22.3  21.7 13.2
  30 190 -77.50  -35.3 312.5 16.1  23.1 15.4  -39.3 372.1 22.3  21.5 13.2
  30 195 -77.50  -35.5 312.5 16.0  23.3 15.4  -39.4 372.0 22.3  21.3 13.2
  30 200 -77.50  -35.7 312.6 16.0  23.4 15.4  -39.5 371.8 22.3  21.0 13.2
  30 205 -77.50  -35.8 312.6 16.0  23.5 15.4  -39.6 371.7 22.3  20.8 13.3
  30 210 -77.50  -35.9 312.6 16.0  23.6 15.5  -39.6 371.6 22.3  20.6 13.3
  30 215 -77.50  -36.0 312.7 16.0  23.6 15.5  -39.7 371.5 22.3  20.4 13.3
  30 220 -77.50  -36.1 312.7 16.0  23.6 15.5  -39.7 371.4 22.3  20.2 13.3
  30 225 -77.50  -36.1 312.7 16.0  23.6 15.5  -39.7 371.3 22.3  20.0 13.3
  30 230 -77.50  -36.1 312.7 15.9  23.5 15.5  -39.8 371.3 22.3  19.9 13.4
  30 235 -77.50  -36.2 312.6 15.9  23.5 15.5  -39.8 371.2 22.3  19.7 13.4
  30 240 -77.50  -36.2 312.6 15.9  23.4 15.5  -39.8 371.2 22.3  19.6 13.4
  30  80 -72.50   76.6   8.0 21.3  22.6 19.3     .8  11.5 25.7  23.7 22.0
  30  85 -72.50   83.0  22.9 21.3  26.6 19.3    5.8  21.1 25.7  32.4 22.0
  30  90 -72.50   91.7  36.6 21.0  34.4 18.7   10.5  37.1 25.6  45.1 21.6
  30  95 -72.50  102.8  47.2 19.1  40.7 18.4   15.5  67.3 24.3  52.7 21.3
  30 100 -72.50  109.2  73.6 17.0  43.0 18.4    2.8 124.6 23.3  46.2 21.1
  30 105 -72.50   98.4 109.7 16.5  46.0 18.1  -23.5 195.2 22.8  38.7 21.3
  30 110 -72.50   73.2 139.1 16.6  47.9 17.9  -40.3 255.0 22.5  37.7 21.8
  30 115 -72.50   48.5 166.4 16.8  46.1 17.7  -47.3 291.5 22.4  42.0 22.4
  30 120 -72.50   28.7 190.8 16.9  42.8 17.6  -50.9 309.3 22.3  45.6 22.6
  30 125 -72.50   13.7 209.2 17.0  40.1 17.6  -53.2 317.0 22.3  46.6 22.8
  30 130 -72.50    2.3 221.9 16.9  38.4 17.6  -54.5 319.8 22.3  46.4 22.9
  30 135 -72.50   -6.1 230.8 16.9  37.2 17.6  -55.2 320.3 22.3  45.8 11.0
  30 140 -72.50  -12.3 237.0 16.8  36.4 17.6  -55.3 319.9 22.3  45.2 11.1
  30 145 -72.50  -17.2 241.1 16.8  36.2 17.6  -55.2 319.1 22.4  44.8 11.2
  30 150 -72.50  -21.1 244.0 16.7  35.9 17.6  -54.9 318.0 22.4  44.6 11.3
  30 155 -72.50  -23.8 245.9 16.7  35.7 17.6  -54.3 317.1 22.4  44.5 11.4
  30 160 -72.50  -26.1 247.2 16.6  35.7 17.6  -53.8 316.2 22.4  44.5 11.5
  30 165 -72.50  -27.9 248.2 16.6  35.6 17.6  -53.2 315.4 22.5  44.6 11.5
  30 170 -72.50  -29.3 248.8 16.5  35.5 17.6  -52.5 314.7 22.5  44.7 11.6
  30 175 -72.50  -30.5 249.2 16.5  35.5 17.6  -51.9 314.2 22.5  44.8 11.6
  30 180 -72.50  -31.3 249.5 16.5  35.4 17.6  -51.3 313.7 22.5  44.9 11.7
  30 185 -72.50  -32.0 249.7 16.4  35.4 17.6  -50.7 313.4 22.5  45.0 11.7
  30 190 -72.50  -32.6 249.8 16.4  35.3 17.6  -50.2 313.1 22.5  45.0 11.7
  30 195 -72.50  -33.0 249.9 16.4  35.2 17.5  -49.7 312.8 22.5  45.1 11.8
  30 200 -72.50  -33.3 249.9 16.4  35.2 17.5  -49.2 312.6 22.6  45.1 11.8
  30 205 -72.50  -33.6 249.9 16.4  35.1 17.5  -48.8 312.5 22.6  45.0 11.8
  30 210 -72.50  -33.8 249.9 16.3  35.0 17.5  -48.5 312.4 22.6  45.0 11.8
  30 215 -72.50  -34.0 249.9 16.3  34.9 17.5  -48.2 312.3 22.6  45.0 11.8
  30 220 -72.50  -34.1 249.9 16.3  34.8 17.5  -47.9 312.2 22.6  44.9 11.9
  30 225 -72.50  -34.2 249.9 16.3  34.8 17.5  -47.7 312.2 22.6  44.9 11.9
  30 230 -72.50  -34.3 249.8 16.3  34.7 17.5  -47.6 312.1 22.6  44.8 11.9
  30 235 -72.50  -34.3 249.8 16.3  34.6 17.5  -47.4 312.1 22.6  44.8 11.9
  30 240 -72.50  -34.4 249.8 16.3  34.6 17.5  -47.3 312.1 22.6  44.8 11.9
  30  80 -67.50   80.7   7.5 19.8  33.7 19.2    1.3  20.5 23.1  36.7 21.7
  30  85 -67.50   86.6  11.6 19.8  38.2 19.2    4.9  18.1 23.1  47.3 21.7
  30  90 -67.50   95.0  21.7 22.0  47.6 18.4    8.0  25.3 24.7  66.1 21.1
  30  95 -67.50  107.2  30.2 20.9  56.6 18.0    9.9  51.6 24.5  80.0 20.8
  30 100 -67.50  111.7  49.0 18.2  55.4 17.8     .6 101.6 23.7  72.4 20.4
  30 105 -67.50   97.2  76.6 17.1  55.0 17.7  -22.7 162.9 23.2  52.6 20.1
  30 110 -67.50   73.7 102.2 17.1  56.5 17.5  -44.3 215.6 22.8  32.1 20.3
  30 115 -67.50   50.1 129.4 17.2  55.9 17.1  -58.3 249.7 22.6  19.5 21.7
  30 120 -67.50   30.9 153.6 17.3  53.4 16.8  -66.6 268.0 22.5  27.4 11.5
  30 125 -67.50   16.4 171.9 17.3  50.4 16.6  -71.6 276.3 22.5  34.1 11.8
  30 130 -67.50    5.5 184.9 17.2  47.7 16.5  -74.2 279.6 22.5  38.3 12.0
  30 135 -67.50   -2.4 193.9 17.2  45.4 16.4  -75.1 280.5 22.5  41.2 12.1
  30 140 -67.50   -8.5 200.0 17.1  43.6 16.3  -75.0 280.5 22.5  43.5 12.2
  30 145 -67.50  -13.4 204.3 17.1  42.2 16.2  -74.4 280.3 22.6  45.4 12.4
  30 150 -67.50  -17.3 207.1 17.1  41.0 16.2  -73.3 279.8 22.6  47.1 12.4
  30 155 -67.50  -20.1 209.0 17.0  39.9 16.1  -72.0 279.5 22.6  48.6 12.5
  30 160 -67.50  -22.5 210.3 17.0  39.1 16.1  -70.6 279.3 22.7  49.9 12.6
  30 165 -67.50  -24.4 211.2 17.0  38.3 16.1  -69.1 279.2 22.7  51.1 12.6
  30 170 -67.50  -25.8 211.8 16.9  37.6 16.0  -67.7 279.2 22.7  52.1 12.6
  30 175 -67.50  -27.1 212.1 16.9  37.0 16.0  -66.4 279.2 22.7  52.9 12.6
  30 180 -67.50  -27.9 212.3 16.9  36.5 16.0  -65.2 279.4 22.7  53.6 12.7
  30 185 -67.50  -28.8 212.4 16.9  36.1 16.0  -64.1 279.5 22.8  54.3 12.7
  30 190 -67.50  -29.3 212.5 16.8  35.7 16.0  -63.2 279.7 22.8  54.8 12.7
  30 195 -67.50  -29.8 212.5 16.8  35.4 15.9  -62.3 279.9 22.8  55.2 12.7
  30 200 -67.50  -30.1 212.5 16.8  35.1 15.9  -61.6 280.1 22.8  55.6 12.7
  30 205 -67.50  -30.4 212.5 16.8  34.9 15.9  -60.9 280.2 22.8  55.9 12.7
  30 210 -67.50  -30.6 212.5 16.8  34.7 15.9  -60.3 280.4 22.8  56.1 12.7
  30 215 -67.50  -30.7 212.4 16.8  34.5 15.9  -59.8 280.5 22.8  56.3 12.7
  30 220 -67.50  -30.9 212.4 16.8  34.4 15.9  -59.4 280.7 22.8  56.5 12.7
