  Ls Hgt   Lat     UA0   UA1  Up1   UA2  Up2    VA0   VA1  Vp1   VA2  Vp2
  30  80 -87.50    2.7   5.9 17.5    .0 19.0     .0   5.9 23.5    .0 21.9
  30  85 -87.50    5.0  15.5 17.5    .1 19.0     .1  15.6 23.5    .1 21.9
  30  90 -87.50    8.5  32.7 16.8    .3 17.6     .9  32.7 22.7    .3 20.5
  30  95 -87.50   12.7  54.1 15.9    .9 16.5    2.5  54.0 21.8    .9 19.3
  30 100 -87.50   15.3  76.3 15.1   1.1 15.4    2.9  77.1 21.1   1.2 18.3
  30 105 -87.50   13.9  93.5 14.8    .9 14.7    2.3  97.1 20.8   1.1 17.5
  30 110 -87.50   11.2 101.9 14.9    .5 14.1    2.0 107.1 20.8    .3 16.9
  30 115 -87.50   10.2 104.1 15.2    .6 13.6    1.2 108.1 21.0    .5 16.4
  30 120 -87.50   11.1 103.2 15.6    .7 13.4    -.5 105.1 21.3    .7 16.1
  30 125 -87.50   12.7 101.2 16.0    .7 13.2   -2.6 101.1 21.7    .8 15.9
  30 130 -87.50   14.3  99.0 16.4    .7 13.1   -4.5  97.9 22.1    .8 15.7
  30 135 -87.50   15.6  96.9 16.7    .7 13.0   -6.0  95.5 22.5    .7 15.6
  30 140 -87.50   16.5  94.9 17.0    .6 12.8   -7.0  93.7 22.8    .7 15.4
  30 145 -87.50   17.2  93.2 17.2    .6 12.7   -7.6  92.3 23.0    .6 15.3
  30 150 -87.50   17.7  91.7 17.3    .5 12.7   -8.1  91.2 23.1    .5 15.2
  30 155 -87.50   18.0  90.6 17.4    .4 12.6   -8.4  90.4 23.2    .4 15.2
  30 160 -87.50   18.3  89.6 17.5    .4 12.5   -8.6  89.8 23.3    .4 15.1
  30 165 -87.50   18.5  88.9 17.6    .3 12.5   -8.7  89.3 23.4    .3 15.1
  30 170 -87.50   18.6  88.3 17.6    .3 12.5   -8.8  88.9 23.5    .3 15.0
  30  80 -82.50    7.7   5.9 17.4   3.6 19.0    -.1   5.9 23.5   3.5 21.9
  30  85 -82.50   13.9  14.9 17.4   5.7 19.0    -.2  15.3 23.5   5.6 21.9
  30  90 -82.50   23.2  30.6 16.7   9.4 17.6     .5  32.2 22.8   9.5 20.5
  30  95 -82.50   33.5  50.8 15.8  12.2 16.5    1.8  54.6 21.9  13.4 19.3
  30 100 -82.50   39.4  72.1 15.1  14.3 15.4    1.6  79.3 21.2  16.3 18.3
  30 105 -82.50   37.2  88.4 14.8  14.4 14.7    1.6  98.5 20.8  16.0 17.5
  30 110 -82.50   33.6  95.9 14.9  13.1 14.1    1.4 106.1 20.8  14.2 16.9
  30 115 -82.50   33.2  97.7 15.3  12.0 13.6   -1.1 104.8 21.0  12.9 16.4
  30 120 -82.50   35.2  97.0 15.8  11.6 13.4   -5.3 100.7 21.4  12.3 16.1
  30 125 -82.50   37.7  96.0 16.2  11.7 13.2   -9.7  97.4 21.9  12.0 15.9
  30 130 -82.50   39.7  95.0 16.7  11.9 13.1  -13.1  95.8 22.4  11.8 15.7
  30 135 -82.50   41.1  94.1 17.0  12.1 13.0  -15.3  95.2 22.8  11.6 15.6
  30 140 -82.50   42.0  93.2 17.2  12.3 12.8  -16.5  95.1 23.1  11.5 15.4
  30 145 -82.50   42.6  92.3 17.4  12.5 12.7  -17.0  95.2 23.3  11.5 15.3
  30 150 -82.50   43.0  91.5 17.6  12.7 12.7  -17.2  95.4 23.4  11.4 15.2
  30 155 -82.50   43.3  90.8 17.7  12.8 12.6  -17.1  95.5 23.5  11.4 15.2
  30 160 -82.50   43.5  90.2 17.8  13.0 12.5  -17.0  95.6 23.6  11.5 15.1
  30 165 -82.50   43.6  89.8 17.8  13.2 12.5  -16.8  95.7 23.7  11.5 15.1
  30 170 -82.50   43.7  89.4 17.9  13.3 12.5  -16.7  95.8 23.8  11.5 15.0
  30  80 -77.50   10.9   5.6 17.3  10.6 19.1    -.1   5.4 23.6  10.4 22.0
  30  85 -77.50   18.8  13.0 17.3  15.7 19.1    -.2  13.6 23.6  15.8 22.0
  30  90 -77.50   31.5  25.7 16.6  25.4 17.7    -.1  29.4 22.8  26.6 20.5
  30  95 -77.50   45.2  42.9 15.7  33.9 16.5    -.3  53.2 22.0  38.0 19.3
  30 100 -77.50   53.7  61.7 15.0  39.6 15.4   -1.9  80.5 21.3  46.4 18.2
  30 105 -77.50   53.9  76.3 14.8  40.2 14.6   -2.6  99.3 20.9  46.8 17.4
  30 110 -77.50   51.5  81.8 14.9  36.1 14.0   -3.0 103.0 20.8  41.8 16.8
  30 115 -77.50   51.9  82.3 15.4  31.6 13.5   -6.5  97.9 21.0  36.8 16.2
  30 120 -77.50   53.8  81.3 16.0  28.9 13.2  -11.6  92.3 21.6  33.8 15.8
  30 125 -77.50   55.6  81.3 16.6  27.7 12.9  -16.2  90.7 22.3  32.0 15.6
  30 130 -77.50   56.6  82.2 17.2  27.2 12.8  -19.1  92.6 22.9  30.8 15.4
  30 135 -77.50   57.0  83.4 17.6  27.2 12.7  -20.3  96.0 23.4  29.9 15.2
  30 140 -77.50   57.1  84.5 17.8  27.3 12.6  -20.4  99.5 23.7  29.3 15.1
  30 145 -77.50   57.1  85.2 18.0  27.6 12.5  -19.9 102.6 23.9  28.8 15.0
  30 150 -77.50   57.0  85.7 18.2  28.0 12.4  -19.1 105.1 24.0  28.5 14.9
  30 155 -77.50   56.9  86.1 18.3  28.4 12.3  -18.1 107.0 24.1  28.2 14.8
  30 160 -77.50   56.8  86.3 18.4  28.8 12.3  -17.2 108.5 24.1  28.1 14.8
  30 165 -77.50   56.7  86.4 18.4  29.1 12.3  -16.5 109.7 24.2  28.0 14.7
  30 170 -77.50   56.6  86.5 18.5  29.4 12.2  -15.8 110.6 24.2  27.9 14.7
  30  80 -72.50   12.2   4.8 17.3  16.5 19.4     .0   4.5 23.7  17.0 22.3
  30  85 -72.50   20.8  10.8 17.3  21.7 19.4     .0  11.2 23.7  23.1 22.3
  30  90 -72.50   33.6  20.2 16.6  35.4 17.8    -.2  24.5 22.9  39.2 20.7
  30  95 -72.50   48.0  33.0 15.6  49.1 16.6   -1.1  46.8 22.1  57.5 19.4
  30 100 -72.50   57.6  47.9 15.0  58.1 15.5   -3.7  75.1 21.4  71.0 18.3
  30 105 -72.50   59.7  59.6 14.8  59.1 14.6   -6.3  95.0 21.0  72.9 17.4
  30 110 -72.50   59.0  64.3 14.9  53.0 13.9   -8.8  98.2 20.8  65.8 16.6
  30 115 -72.50   59.2  64.2 15.5  45.3 13.3  -13.1  92.6 21.2  57.7 16.0
  30 120 -72.50   59.7  62.8 16.2  39.8 12.8  -18.0  88.5 22.0  52.7 15.5
  30 125 -72.50   59.6  62.9 17.1  36.7 12.5  -21.3  90.1 22.8  49.8 15.1
  30 130 -72.50   58.9  64.8 17.8  35.0 12.2  -22.5  95.9 23.4  47.8 14.8
  30 135 -72.50   58.1  67.3 18.3  34.1 12.1  -22.0 102.9 23.8  46.3 14.6
  30 140 -72.50   57.3  69.8 18.6  33.7 11.9  -20.6 109.2 24.0  44.9 14.5
  30 145 -72.50   56.7  71.8 18.9  33.6 11.8  -18.8 114.4 24.2  43.8 14.3
  30 150 -72.50   56.2  73.4 19.0  33.6 11.8  -16.9 118.4 24.3  42.9 14.2
  30 155 -72.50   55.8  74.5 19.1  33.7 11.7  -15.3 121.5 24.3  42.1 14.2
  30 160 -72.50   55.5  75.4 19.2  33.8 11.7  -13.8 123.8 24.4  41.4 14.1
  30 165 -72.50   55.3  76.0 19.3  34.0 11.6  -12.6 125.6 24.4  40.9 14.1
  30 170 -72.50   55.1  76.4 19.3  34.1 11.6  -11.5 126.9 24.4  40.5 14.0
  30  80 -67.50   12.3   4.1 17.5  20.6 19.7    -.3   3.9 23.7  22.2 22.6
  30  85 -67.50   20.0   8.8 17.5  24.3 19.7     .0   9.3 23.7  27.4 22.6
  30  90 -67.50   31.7  15.5 16.8  38.8 18.0    -.6  19.8 23.1  45.8 20.9
  30  95 -67.50   45.0  23.2 15.8  55.5 16.8   -2.0  38.3 22.3  68.8 19.6
  30 100 -67.50   54.2  32.1 15.2  66.6 15.7   -5.2  64.1 21.6  85.3 18.5
  30 105 -67.50   57.1  40.5 15.1  68.8 14.8   -9.5  85.2 21.2  89.0 17.5
  30 110 -67.50   56.7  46.1 15.4  62.7 13.9  -13.8  91.3 21.2  82.1 16.7
  30 115 -67.50   55.6  47.9 16.0  54.5 13.2  -18.3  89.3 21.7  73.4 16.0
  30 120 -67.50   53.8  47.5 16.8  48.4 12.6  -21.9  90.2 22.4  68.4 15.4
  30 125 -67.50   51.4  47.7 17.7  44.9 12.2  -23.1  96.7 23.2  66.1 14.9
  30 130 -67.50   49.2  49.8 18.5  43.0 11.9  -22.0 106.2 23.7  64.6 14.5
  30 135 -67.50   47.5  52.9 19.1  41.8 11.6  -19.8 115.3 23.9  63.2 14.3
  30 140 -67.50   46.3  56.2 19.5  41.0 11.5  -17.3 123.0 24.1  61.8 14.1
  30 145 -67.50   45.4  59.0 19.7  40.4 11.3  -14.8 128.9 24.2  60.3 13.9
  30 150 -67.50   44.8  61.2 19.9  40.0 11.2  -12.6 133.3 24.2  59.0 13.8
  30 155 -67.50   44.4  62.8 20.0  39.7 11.1  -10.8 136.6 24.2  57.9 13.7
  30 160 -67.50   44.1  64.1 20.1  39.5 11.1   -9.3 138.9 24.2  57.0 13.6
  30 165 -67.50   43.9  65.0 20.1  39.3 11.0   -8.1 140.7 24.2  56.2 13.6
  30 170 -67.50   43.7  65.7 20.1  39.2 11.0   -7.1 142.0 24.2  55.5 13.5
  30  80 -62.50   10.8   3.5 17.6  23.5 20.0   -1.0   3.6 23.6  26.6 22.9
  30  85 -62.50   17.7   7.2 17.6  25.7 20.0    -.5   8.1 23.6  30.0 22.9
  30  90 -62.50   26.6  11.8 17.2  38.9 18.2   -1.4  16.3 23.2  48.3 21.1
  30  95 -62.50   37.6  15.6 16.4  56.2 16.9   -3.6  30.3 22.5  73.3 19.8
  30 100 -62.50   46.3  19.1 16.0  68.8 15.8   -7.4  51.7 21.9  91.8 18.7
  30 105 -62.50   49.5  24.9 16.2  72.7 14.9  -12.5  72.4 21.6  96.9 17.7
  30 110 -62.50   48.5  31.8 16.5  68.2 14.0  -17.6  81.9 21.7  91.2 16.8
  30 115 -62.50   45.3  35.8 16.9  61.1 13.3  -21.4  85.0 22.2  83.1 16.0
  30 120 -62.50   41.0  36.4 17.6  55.8 12.6  -22.6  92.2 22.9  78.3 15.3
  30 125 -62.50   36.9  36.6 18.5  52.8 12.1  -21.3 103.8 23.5  76.7 14.7
  30 130 -62.50   33.8  38.7 19.4  51.0 11.7  -18.5 116.3 23.8  75.9 14.3
  30 135 -62.50   31.9  42.3 20.0  49.6 11.5  -15.3 127.0 23.9  74.8 14.1
  30 140 -62.50   30.6  46.2 20.3  48.5 11.2  -12.4 135.2 24.0  73.4 13.8
  30 145 -62.50   29.8  49.5 20.6  47.6 11.1   -9.9 141.2 24.0  71.9 13.7
  30 150 -62.50   29.3  52.2 20.7  46.8 22.9   -8.0 145.5 24.0  70.6 13.6
  30 155 -62.50   28.9  54.2 20.8  46.3 22.8   -6.5 148.5 24.0  69.4 13.5
  30 160 -62.50   28.7  55.7 20.8  45.8 22.8   -5.3 150.6 24.0  68.4 13.4
  30 165 -62.50   28.5  56.9 20.8  45.5 22.7   -4.5 152.1 24.0  67.7 13.4
  30 170 -62.50   28.4  57.7 20.9  45.2 22.7   -3.8 153.1 24.0  67.1 13.3
  30  80 -57.50    7.9   3.0 17.6  25.1 20.2   -1.8   3.4 23.4  29.1 11.1
  30  85 -57.50   13.7   5.9 17.6  25.9 20.2   -1.5   7.4 23.4  31.0 11.1
  30  90 -57.50   20.0   9.2 17.4  37.9 18.4   -2.6  13.7 23.2  48.0 21.3
  30  95 -57.50   27.8  10.9 17.0  54.1 17.1   -5.5  23.9 22.7  72.9 19.9
  30 100 -57.50   35.0  12.0 17.2  67.1 16.0  -10.0  40.3 22.3  92.3 18.8
  30 105 -57.50   38.0  16.3 17.7  73.3 15.0  -15.7  59.0 22.1  98.8 17.7
  30 110 -57.50   36.2  23.8 17.8  71.5 14.1  -20.9  71.2 22.2  94.7 16.8
  30 115 -57.50   30.8  28.0 17.8  66.0 13.3  -22.9  79.5 22.8  87.2 15.9
  30 120 -57.50   24.8  28.1 18.3  61.4 12.6  -21.9  92.4 23.4  82.4 15.2
  30 125 -57.50   20.1  27.8 19.2  58.5 12.1  -18.5 108.3 23.7  80.4 14.6
  30 130 -57.50   17.0  30.3 20.1  56.3 11.7  -14.6 123.0 23.9  79.4 14.2
  30 135 -57.50   15.1  34.6 20.7  54.6 11.4  -11.0 134.5 23.9  78.1 13.9
  30 140 -57.50   14.0  39.2 21.0  53.1 11.1   -8.2 142.8 23.9  76.7 13.7
  30 145 -57.50   13.4  43.0 21.2  51.9 22.9   -6.2 148.4 23.9  75.3 13.5
  30 150 -57.50   13.0  46.1 21.3  51.0 22.8   -4.7 152.1 23.8  74.1 13.4
  30 155 -57.50   12.8  48.3 21.3  50.3 22.6   -3.6 154.7 23.8  73.1 13.3
  30 160 -57.50   12.6  50.0 21.4  49.8 22.6   -2.8 156.3 23.8  72.3 13.3
  30 165 -57.50   12.5  51.2 21.4  49.4 22.5   -2.3 157.4 23.8  71.7 13.2
  30 170 -57.50   12.5  52.1 21.4  49.1 22.4   -1.8 158.2 23.8  71.2 13.2
  30  80 -52.50    4.1   2.7 17.4  24.3 20.3   -2.1   3.3 23.2  27.7 11.2
  30  85 -52.50    8.8   5.1 17.4  24.6 20.3   -2.8   7.1 23.2  29.9 11.2
  30  90 -52.50   12.6   7.4 17.4  35.7 18.5   -3.8  12.2 23.0  45.3 21.3
  30  95 -52.50   17.1   8.7 17.3  51.4 17.2   -7.1  19.4 22.8  69.2 20.0
  30 100 -52.50   21.8   8.7 18.0  64.0 16.0  -12.5  31.0 22.7  88.1 18.8
  30 105 -52.50   24.0  13.1 18.9  72.1 15.0  -18.8  47.0 22.6  96.1 17.7
  30 110 -52.50   20.7  19.7 18.8  73.1 14.1  -23.2  60.7 22.8  93.7 16.7
  30 115 -52.50   14.3  22.2 18.5  69.2 13.3  -23.6  73.8 23.3  87.3 15.8
  30 120 -52.50    7.7  21.0 18.8  64.8 12.7  -20.6  91.1 23.7  81.9 15.0
  30 125 -52.50    3.0  20.6 19.9  61.2 12.1  -16.5 109.4 23.9  78.7 14.4
  30 130 -52.50     .3  24.1 20.9  58.3 11.6  -12.5 124.8 23.9  76.7 14.0
  30 135 -52.50   -1.2  29.4 21.4  56.1 11.3   -9.3 135.8 23.8  75.0 13.7
  30 140 -52.50   -2.1  34.5 21.6  54.4 23.0   -6.9 143.2 23.8  73.4 13.5
  30 145 -52.50   -2.5  38.7 21.7  53.2 22.8   -5.4 147.9 23.7  72.1 13.3
  30 150 -52.50   -2.8  41.9 21.7  52.3 22.6   -4.3 150.8 23.7  71.0 13.2
  30 155 -52.50   -3.0  44.2 21.7  51.7 22.4   -3.6 152.7 23.7  70.1 13.1
  30 160 -52.50   -3.0  45.9 21.7  51.2 22.3   -3.2 153.8 23.6  69.5 13.1
  30 165 -52.50   -3.1  47.1 21.7  50.9 22.3   -2.8 154.5 23.6  69.1 13.1
  30 170 -52.50   -3.1  47.9 21.7  50.7 22.2   -2.6 154.9 23.6  68.7 13.0
  30  80 -47.50     .8   2.2 17.2  20.9 20.2   -2.2   2.9 23.2  22.1 11.0
  30  85 -47.50    3.7   4.6 17.2  20.0 20.2   -3.3   7.0 23.2  24.6 11.0
  30  90 -47.50    5.6   6.6 17.2  32.8 18.4   -3.7  11.5 23.0  40.6 21.2
  30  95 -47.50    7.0   7.4 17.0  47.7 17.1   -7.3  16.5 22.8  62.2 19.9
  30 100 -47.50    8.6   7.5 18.0  61.0 16.0  -13.5  25.0 22.9  80.6 18.7
  30 105 -47.50    8.5  11.2 19.3  70.1 15.0  -20.5  37.0 23.1  89.4 17.6
  30 110 -47.50    4.4  16.2 19.2  73.1 14.1  -24.3  51.0 23.4  89.4 16.5
  30 115 -47.50   -2.4  17.0 18.9  70.5 13.3  -23.4  67.4 23.8  84.1 15.6
  30 120 -47.50   -8.5  15.3 19.4  65.4 12.7  -19.9  87.1 23.9  77.6 14.8
  30 125 -47.50  -12.8  15.8 20.7  60.7 12.1  -16.0 105.7 23.9  72.9 14.2
  30 130 -47.50  -15.1  20.4 21.6  57.0 11.5  -12.9 120.1 23.8  69.9 13.7
  30 135 -47.50  -16.4  26.5 21.9  54.6 11.1  -10.6 129.7 23.7  67.6 13.4
  30 140 -47.50  -17.1  31.8 22.0  53.0 22.8   -9.0 135.7 23.6  65.7 13.2
  30 145 -47.50  -17.4  36.0 22.0  52.0 22.5   -7.9 139.3 23.6  64.3 13.1
  30 150 -47.50  -17.6  39.2 22.0  51.5 22.3   -7.2 141.3 23.5  63.1 13.0
