  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -82.5 279 144.67   .03 16.4   .02  1.1  -17.4  2.7   .2  1.0  5.2    8.3  1.2  4.5  1.0  9.0
  30 -82.5 270 144.65   .03   .3   .01  6.1  -14.7  3.7  3.3  2.3  7.2   10.9  1.1  5.2  2.5  9.4
  30 -82.5 261 144.66   .03 15.1   .01  5.3  -15.7  1.6 13.3  1.1  5.3    6.3  1.4 15.6  1.0  9.4
  30 -82.5 252 144.77   .07 18.6   .03  6.4  -17.1  1.0  6.7   .3 11.1    7.7  1.4  6.3  1.4 11.8
  30 -82.5 243 144.80   .04 20.1   .03  7.6  -16.4   .2  5.6  1.8  9.1    5.8  2.1 22.0  2.0 11.1
  30 -82.5 234 144.89   .06 13.3   .03  9.0  -17.1   .6 23.4   .7  7.6    5.1  1.1 19.9   .8  1.1
  30 -82.5 225 144.83   .03  9.0   .03  4.5  -16.5  1.2 10.0  1.6 10.8    4.1   .8 17.3  2.8  1.2
  30 -82.5 216 144.79   .00  5.5   .02  9.4  -15.3  1.8 13.6  2.1  9.6    3.0  1.0 16.7  1.9   .1
  30 -82.5 207 144.75   .02 20.6   .04  1.5  -14.7   .6 15.2  1.3  9.1    2.0   .7 18.8   .9  2.0
  30 -82.5 198 144.72   .05  6.1   .00  5.2  -14.6  1.3 13.3  1.5 10.5    -.3   .7 15.7  2.1  2.1
  30 -82.5 189 144.71   .04 21.3   .02  3.0  -13.5   .6  2.6  1.5 10.8    -.1  1.4  3.6  1.6  2.1
  30 -82.5 180 144.65   .05 23.3   .01 11.4  -10.7  1.0  8.9  1.8 11.1    1.3  1.0 16.8  1.5  2.9
  30 -82.5 171 144.59   .03  1.4   .02 11.6   -9.6  1.0 17.1  1.7 11.3    -.1   .7 23.6  1.5  2.6
  30 -82.5 162 144.62   .01 19.2   .03  2.1   -9.0   .2 17.1   .7   .9     .2   .0 17.2   .7  4.0
  30 -82.5 153 144.73   .03  2.0   .01   .4   -8.9   .5  8.9  1.2 10.6    -.9   .7 19.6   .9  2.6
  30 -82.5 144 144.83   .03  5.1   .03  1.8   -7.8   .8  8.7   .2  1.5   -1.4   .4 20.7   .3  5.7
  30 -82.5 135 144.87   .02  3.6   .00  3.1   -6.5   .5  6.2   .8 11.6   -2.2  1.5  1.7   .6  3.0
  30 -82.5 126 144.89   .02  6.9   .01  7.2   -5.5  1.8  9.1   .0  3.8   -2.4  1.9  8.1   .6  6.0
  30 -82.5 117 144.90   .01 18.1   .01  7.5   -4.5   .9 15.7  1.0   .6   -2.4   .7  6.6   .5  3.9
  30 -82.5 108 144.94   .01 17.2   .01  6.0   -3.5   .4 14.2   .5   .0   -2.0  1.5  8.6   .3  5.3
  30 -82.5  99 145.02   .01 15.8   .01  8.7   -3.7  1.3 15.2  1.0 10.1   -2.2  1.0 15.1   .8 11.5
  30 -82.5  90 145.12   .00  1.4   .01  5.6   -3.1   .7 17.3  1.7 10.3   -3.4   .5 11.9  1.6   .3
  30 -82.5  81 145.13   .01  2.5   .01  6.8   -1.4   .6 16.9   .8 11.0   -2.8  1.1 15.7  1.3   .4
  30 -82.5  72 145.01   .01  3.8   .01  7.1    -.8   .7 21.8   .8 10.8   -2.1   .2  8.0  1.9  1.4
  30 -82.5  63 144.93   .01  5.0   .02  7.3    -.9   .7 19.6   .6  9.8   -2.2  1.3 18.2  1.3  2.3
  30 -82.5  54 144.90   .03  5.1   .02  8.4     .5  1.0  1.5  1.7 10.5   -2.2   .8 22.7  1.6  2.5
  30 -82.5  45 144.82   .02  8.0   .01  9.0    2.0   .3  4.1  1.4 10.3    -.9  1.1 22.2   .6  1.5
  30 -82.5  36 144.73   .02  9.5   .01   .7    2.7  1.1  6.4  1.7 11.7     .2  1.3  2.6  1.2  2.3
