  Ls  Lat LonW  TA0K   TA1K  Tp1  TA2K  Tp2    UA0  UA1  Up1  UA2  Up2    VA0  VA1  Vp1  VA2  Vp2
  30 -90.0 360 142.33   .02 10.3   .01  9.6     .0   .0 12.0   .0 12.0     .0   .0 12.0   .0 12.0
  30 -90.0 351 142.33   .02 10.9   .01 10.2     .0   .0 12.6   .0   .6     .0   .0 12.6   .0   .6
  30 -90.0 342 142.33   .02 11.5   .01 10.8     .0   .0 13.2   .0  1.2     .0   .0 13.2   .0  1.2
  30 -90.0 333 142.33   .02 12.1   .01 11.4     .0   .0 13.8   .0  1.8     .0   .0 13.8   .0  1.8
  30 -90.0 324 142.33   .02 12.7   .01 12.0     .0   .0 14.4   .0  2.4     .0   .0 14.4   .0  2.4
  30 -90.0 315 142.33   .02 13.3   .01   .6     .0   .0 15.0   .0  3.0     .0   .0 15.0   .0  3.0
  30 -90.0 306 142.33   .02 13.9   .01  1.2     .0   .0 15.6   .0  3.6     .0   .0 15.6   .0  3.6
  30 -90.0 297 142.33   .02 14.5   .01  1.8     .0   .0 16.2   .0  4.2     .0   .0 16.2   .0  4.2
  30 -90.0 288 142.33   .02 15.1   .01  2.4     .0   .0 16.8   .0  4.8     .0   .0 16.8   .0  4.8
  30 -90.0 279 142.33   .02 15.7   .01  3.0     .0   .0 17.4   .0  5.4     .0   .0 17.4   .0  5.4
  30 -90.0 270 142.33   .02 16.3   .01  3.6     .0   .0 18.0   .0  6.0     .0   .0 18.0   .0  6.0
  30 -90.0 261 142.33   .02 16.9   .01  4.2     .0   .0 18.6   .0  6.6     .0   .0 18.6   .0  6.6
  30 -90.0 252 142.33   .02 17.5   .01  4.8     .0   .0 19.2   .0  7.2     .0   .0 19.2   .0  7.2
  30 -90.0 243 142.33   .02 18.1   .01  5.4     .0   .0 19.8   .0  7.8     .0   .0 19.8   .0  7.8
  30 -90.0 234 142.33   .02 18.7   .01  6.0     .0   .0 20.4   .0  8.4     .0   .0 20.4   .0  8.4
  30 -90.0 225 142.33   .02 19.3   .01  6.6     .0   .0 21.0   .0  9.0     .0   .0 21.0   .0  9.0
  30 -90.0 216 142.33   .02 19.9   .01  7.2     .0   .0 21.6   .0  9.6     .0   .0 21.6   .0  9.6
  30 -90.0 207 142.33   .02 20.5   .01  7.8     .0   .0 22.2   .0 10.2     .0   .0 22.2   .0 10.2
  30 -90.0 198 142.33   .02 21.1   .01  8.4     .0   .0 22.8   .0 10.8     .0   .0 22.8   .0 10.8
  30 -90.0 189 142.33   .02 21.7   .01  9.0     .0   .0 23.4   .0 11.4     .0   .0 23.4   .0 11.4
  30 -90.0 180 142.33   .02 22.3   .01  9.6     .0   .0   .0   .0   .0     .0   .0   .0   .0   .0
  30 -90.0 171 142.33   .02 22.9   .01 10.2     .0   .0   .6   .0   .6     .0   .0   .6   .0   .6
  30 -90.0 162 142.33   .02 23.5   .01 10.8     .0   .0  1.2   .0  1.2     .0   .0  1.2   .0  1.2
  30 -90.0 153 142.33   .02   .1   .01 11.4     .0   .0  1.8   .0  1.8     .0   .0  1.8   .0  1.8
  30 -90.0 144 142.33   .02   .7   .01 12.0     .0   .0  2.4   .0  2.4     .0   .0  2.4   .0  2.4
  30 -90.0 135 142.33   .02  1.3   .01   .6     .0   .0  3.0   .0  3.0     .0   .0  3.0   .0  3.0
  30 -90.0 126 142.33   .02  1.9   .01  1.2     .0   .0  3.6   .0  3.6     .0   .0  3.6   .0  3.6
  30 -90.0 117 142.33   .02  2.5   .01  1.8     .0   .0  4.2   .0  4.2     .0   .0  4.2   .0  4.2
  30 -90.0 108 142.33   .02  3.1   .01  2.4     .0   .0  4.8   .0  4.8     .0   .0  4.8   .0  4.8
  30 -90.0  99 142.33   .02  3.7   .01  3.0     .0   .0  5.4   .0  5.4     .0   .0  5.4   .0  5.4
  30 -90.0  90 142.33   .02  4.3   .01  3.6     .0   .0  6.0   .0  6.0     .0   .0  6.0   .0  6.0
  30 -90.0  81 142.33   .02  4.9   .01  4.2     .0   .0  6.6   .0  6.6     .0   .0  6.6   .0  6.6
  30 -90.0  72 142.33   .02  5.5   .01  4.8     .0   .0  7.2   .0  7.2     .0   .0  7.2   .0  7.2
  30 -90.0  63 142.33   .02  6.1   .01  5.4     .0   .0  7.8   .0  7.8     .0   .0  7.8   .0  7.8
  30 -90.0  54 142.33   .02  6.7   .01  6.0     .0   .0  8.4   .0  8.4     .0   .0  8.4   .0  8.4
  30 -90.0  45 142.33   .02  7.3   .01  6.6     .0   .0  9.0   .0  9.0     .0   .0  9.0   .0  9.0
  30 -90.0  36 142.33   .02  7.9   .01  7.2     .0   .0  9.6   .0  9.6     .0   .0  9.6   .0  9.6
  30 -90.0  27 142.33   .02  8.5   .01  7.8     .0   .0 10.2   .0 10.2     .0   .0 10.2   .0 10.2
  30 -90.0  18 142.33   .02  9.1   .01  8.4     .0   .0 10.8   .0 10.8     .0   .0 10.8   .0 10.8
  30 -90.0   9 142.33   .02  9.7   .01  9.0     .0   .0 11.4   .0 11.4     .0   .0 11.4   .0 11.4
  30 -82.5 360 143.02   .06 13.4   .02  8.1    2.8  1.3  8.2  1.8   .3    4.1  3.2 11.3  1.7  4.9
  30 -82.5 351 143.04   .01  9.4   .03  8.5    1.5   .6  1.1  1.0   .4    2.7  2.2  9.7   .5  2.2
  30 -82.5 342 143.09   .03 12.0   .03  9.0    1.0  1.0 23.5  1.6  2.8    3.0  2.9 12.6  1.9  5.2
  30 -82.5 333 143.11   .00 12.2   .01 10.0     .7  2.0  1.5  1.2  2.7    1.0   .6 20.2  1.2  6.7
  30 -82.5 324 143.16   .04 11.2   .01   .0    2.4  1.2  1.9  1.6  2.6    1.5  2.3  8.4  1.2  5.0
  30 -82.5 315 143.24   .04 13.4   .03  1.2    4.1  1.5 21.5  2.0  4.1    4.4  2.5 16.5  2.5  6.9
  30 -82.5 306 143.35   .03 14.7   .04  1.2    3.5  1.2  5.1  1.8  2.6    7.5  3.0 18.1  1.0  6.1
  30 -82.5 297 143.36   .04  8.7   .03  2.9    1.1  3.5  5.8  2.0  3.8    7.6  1.4 12.5  1.9  6.3
  30 -82.5 288 143.32   .03  8.8   .02  1.4    -.7  3.6  5.7   .3  4.0    6.4  2.3  9.6   .9  7.8
  30 -82.5 279 143.26   .02 11.9   .02  1.4   -2.4  2.5  6.5   .7  4.1    3.8  1.7  9.9   .7  7.9
  30 -82.5 270 143.26   .02 13.8   .03  2.8   -2.5  2.6  4.2   .9  6.2    2.5  3.3  8.0  1.2  8.9
  30 -82.5 261 143.28   .03 18.6   .03  2.2   -3.4  2.4  4.4   .1  2.5    1.0  1.9  9.4   .6 10.1
  30 -82.5 252 143.37   .03 21.3   .02  5.8   -3.1  1.0  6.7  1.1  6.8     .6   .7 16.9  1.1  9.9
  30 -82.5 243 143.39   .02 20.5   .01  7.1   -2.6  1.5  9.1  1.0  8.1     .3  1.2 13.8  1.2 10.9
  30 -82.5 234 143.38   .04 19.8   .02  6.9   -2.3   .8  5.2  1.2  8.1     .2   .7   .3  1.5 10.7
  30 -82.5 225 143.34   .02 18.3   .01  7.8   -2.3  1.6  6.0   .5  9.1     .1   .7  9.1   .9 11.6
  30 -82.5 216 143.30   .01 12.5   .01 10.3   -2.5  1.4  7.2   .6  8.6   -1.2  1.7  9.7   .9   .2
  30 -82.5 207 143.26   .04 19.4   .00  6.4   -1.6  1.0  7.8  1.5  9.6   -1.4   .6 10.2  1.5   .3
  30 -82.5 198 143.23   .03 21.4   .01 11.5   -1.1  1.6  8.2   .6 10.2   -1.3  1.6  9.9  1.0  1.1
  30 -82.5 189 143.18   .04 18.6   .02  4.2    -.8   .7 10.2   .8  9.6   -2.4  1.6 10.0   .9  1.2
  30 -82.5 180 143.13   .04 20.9   .01  8.8    1.0   .3 13.4  1.2 10.7    -.3  1.3 13.5  1.2  1.5
  30 -82.5 171 143.07   .03 22.2   .02 10.2    1.2   .4 13.5  1.4 10.9    -.5   .8 15.9  1.5  1.9
  30 -82.5 162 143.10   .05 24.0   .02 11.3    1.4   .6  7.8  1.5 11.1     .8  1.9 12.0  1.4  2.2
  30 -82.5 153 143.19   .04  1.0   .01 11.4     .6   .5 21.0  1.1 10.4     .0  1.4 16.2  1.0  1.4
  30 -82.5 144 143.27   .03  1.4   .00  4.7     .6   .5  2.5  1.1 11.7    -.8   .2 21.8  1.2  2.9
  30 -82.5 135 143.32   .05  3.5   .02  6.1    1.0   .2  4.3  2.0 10.8   -1.1   .8 12.9  1.3  1.5
  30 -82.5 126 143.31   .04  1.8   .01  4.6    1.4   .6  3.5  1.4 11.4   -1.4   .8 18.9  1.5  2.0
  30 -82.5 117 143.31   .04  3.4   .02  4.2    2.0  1.6  4.0   .9 11.3   -1.1  2.0  6.3   .9  2.6
  30 -82.5 108 143.35   .04  6.6   .02  7.7    2.0   .3 20.5  1.3   .1    -.3   .5  9.1  1.0  3.2
  30 -82.5  99 143.40   .03  5.1   .02  7.4    1.6   .3  8.1  1.2 11.7   -1.3   .2  4.5   .9  2.6
  30 -82.5  90 143.51   .04  6.0   .03  3.8    2.3   .7  9.1  1.3 11.9   -1.3  1.1 12.2  1.4  1.9
  30 -82.5  81 143.50   .03  4.1   .02  5.0    2.6   .2  7.1  1.2   .1   -1.1   .4 13.9  1.9  3.2
  30 -82.5  72 143.38   .03  5.6   .02  7.5    2.8   .7  6.5  1.1 11.4   -1.1  1.0  9.4  1.0  4.4
  30 -82.5  63 143.31   .03  5.9   .01  6.8    3.2   .5 22.0  1.9   .3   -1.0  1.0  9.8  1.0  2.0
  30 -82.5  54 143.29   .07  7.3   .06  7.5    3.9   .2  5.1  1.5   .6    -.3  1.3 15.8  2.1  2.8
  30 -82.5  45 143.18   .05  5.9   .03  7.7    4.6  1.2  4.6  1.2   .1     .2   .8 10.0  1.4  4.0
  30 -82.5  36 143.10   .04  6.9   .02  9.3    4.3  1.1  3.0  1.9   .7    1.9  1.3 12.9  1.2  3.4
  30 -82.5  27 143.04   .05  6.5   .03  8.8    3.7  1.9  3.5  1.8  1.0    1.7   .5   .6  1.7  3.6
  30 -82.5  18 143.00   .07  7.9   .04  8.4    3.9  1.3  6.1  1.9   .6    2.4  1.7  5.4  1.9  3.0
  30 -82.5   9 143.00   .10  9.5   .06  7.8    3.3  1.1  9.0  1.6  1.6    2.9  2.0  8.1  2.4  4.1
  30 -75.0 360 143.93   .04 10.0   .02  4.0   12.8  2.7  4.5   .7  6.4    -.2  1.7 12.2   .6  9.6
  30 -75.0 351 144.05   .09  4.4   .04  7.5   10.8  2.8  5.5  1.2  6.4   -1.0  1.2 11.6   .9  8.2
  30 -75.0 342 144.09   .10  6.8   .05  7.2    9.5  2.8  6.4   .4  6.8   -2.0  1.3  8.9   .3  8.1
  30 -75.0 333 144.00   .03  8.9   .02   .6    9.3   .9  8.1   .7  6.5   -3.1  2.0  8.2   .6  9.8
  30 -75.0 324 143.90   .02 23.1   .04  1.0    9.2   .6  3.8   .5 11.0   -1.8  2.4 12.5   .3  1.4
  30 -75.0 315 143.94   .05  1.6   .05  1.4    9.2  1.2  2.3   .4  6.1    -.2  1.9 13.9   .6 11.4
  30 -75.0 306 144.08   .08  2.7   .04  2.8    9.3  2.1   .8   .5  9.0    1.0  2.1 15.1   .5   .9
  30 -75.0 297 144.09   .08  3.2   .03  2.0    9.1  2.4  3.0   .4 10.7    1.5  1.5 22.8   .7   .4
  30 -75.0 288 144.07   .08  5.9   .02  4.3    8.6  2.0  7.1   .7  6.0    1.1  1.9  6.9   .5  9.4
  30 -75.0 279 144.05   .02 12.5   .03  3.4    7.4  1.1  8.4   .4  1.0    1.4  1.5 12.5   .5  4.4
  30 -75.0 270 144.00   .03  4.5   .03  2.8    5.8  1.9  5.6   .2  5.6    1.1  1.1  9.1   .3 10.9
  30 -75.0 261 144.06   .04  7.4   .05  6.4    4.0  1.7  5.7   .6 11.4    1.9  1.2 12.7   .9  2.6
  30 -75.0 252 144.14   .05  4.3   .07  4.8    1.6  2.1  4.0   .7  7.5     .6   .6   .8   .7  9.0
  30 -75.0 243 144.20   .01  2.1   .03  4.8     .7  2.0  6.7   .5  5.8     .1  1.3  7.3   .8  8.4
  30 -75.0 234 144.21   .02 19.3   .02  5.7     .3   .8  9.6   .4  4.8   -1.0  1.3  7.8   .6  7.7
  30 -75.0 225 144.20   .02 20.3   .02  5.5     .5   .3  1.1   .2 11.3   -1.6  1.6 10.4   .3  5.0
  30 -75.0 216 144.09   .03 22.3   .01  8.1     .8  1.2   .9   .5   .7   -4.1  1.9 11.1   .6  5.0
  30 -75.0 207 144.01   .04 22.4   .00 11.3    1.8  1.7  1.3   .2  4.0   -3.5  1.1 13.9   .6  7.9
  30 -75.0 198 143.96   .05   .6   .00 10.5    2.1  2.2  4.3   .8 11.4   -5.2   .4 13.4   .3  2.6
  30 -75.0 189 143.98   .04  1.4   .01  7.6    3.1  2.4  6.4   .5  8.8   -5.5  1.5 10.8   .6 10.4
  30 -75.0 180 143.99   .03   .1   .00 11.4    4.7  1.2  5.8   .4  2.4   -5.9  1.4 12.9   .5  7.7
  30 -75.0 171 143.98   .05  1.0   .00 11.1    6.6  1.6  4.6  1.0  1.1   -5.2  1.4 13.3   .4  3.8
  30 -75.0 162 144.04   .08  1.3   .02  1.7    7.6  2.1  5.0   .7  1.3   -5.4   .7 12.8   .4  4.2
  30 -75.0 153 144.17   .08  2.3   .04  2.1    8.3  1.2  7.7   .2 10.3   -5.2   .2  8.6   .2  2.6
  30 -75.0 144 144.22   .07  2.5   .02  1.7    8.8   .9  8.4   .5  1.7   -6.6  1.0 11.7   .3  6.0
  30 -75.0 135 144.23   .06  2.2   .02  2.6    9.9  1.0  6.0  1.1   .4   -6.0  2.1 11.6   .5  2.9
  30 -75.0 126 144.25   .06  1.8   .02  3.6   10.1  1.3  1.7   .6  1.7   -6.1  1.5 13.8   .2  2.4
  30 -75.0 117 144.35   .12  3.9   .04  5.0   10.3  2.4  3.5  1.1  1.3   -5.9   .8 14.9  1.1  4.2
  30 -75.0 108 144.38   .08  4.6   .01  5.4   10.8  2.9  5.3  1.2   .9   -6.6   .9 15.9   .7  3.5
  30 -75.0  99 144.39   .09  4.6   .02  3.7   11.3  3.1  5.9   .8  1.9   -7.3   .2 13.1   .5  3.0
  30 -75.0  90 144.36   .07  6.3   .02  4.6   12.4  3.0  6.8  1.2 11.2   -7.3  1.4  6.6  1.4  2.3
  30 -75.0  81 144.32   .05  7.7   .02  4.0   13.4  2.1  9.1   .7 11.5   -6.9  1.7  7.7   .2  3.3
  30 -75.0  72 144.36   .05  6.5   .07  4.5   13.7  1.6 10.6   .3  7.2   -6.0  1.9  9.5   .5 10.0
  30 -75.0  63 144.41   .03 11.4   .06  4.2   13.2  1.0 10.7  1.1  7.8   -5.6  2.4 11.6  1.4 10.3
  30 -75.0  54 144.33   .02  4.7   .02  4.6   13.7   .6  6.3   .9  2.9   -5.6  2.0 12.1   .9  7.6
  30 -75.0  45 144.15   .03  5.4   .02  6.7   15.0   .8  3.8  1.0  4.0   -4.9  2.0 10.2   .6  8.4
  30 -75.0  36 143.98   .02  3.1   .02  6.9   15.4   .9  1.8   .8  4.8   -3.2  1.7 12.6   .6  9.1
  30 -75.0  27 143.90   .05  2.3   .01  9.6   14.8  1.6  2.1   .2  8.3   -2.5   .4 10.6   .6   .8
  30 -75.0  18 143.86   .06  4.8   .04  6.9   14.6  1.8  3.4   .8  6.8   -1.9  2.0  9.4   .4 10.6
  30 -75.0   9 143.84   .05  5.7   .07  7.5   13.9  2.5  3.7   .8  4.2   -1.0  2.6 11.5   .9  7.0
  30 -67.5 360 144.79   .05  5.3   .02  4.1   17.0  1.3  7.2  1.2  7.2    -.7  2.3 12.9   .8  9.1
  30 -67.5 351 145.00   .08  8.8   .01  8.6   15.5  2.4  4.7  5.5   .9   -2.7  1.7 13.9  5.8  4.0
  30 -67.5 342 144.95   .10  6.5   .04   .5   15.5  3.4  5.0  2.5  8.6   -6.2  2.3  6.7  2.1 11.6
  30 -67.5 333 144.78   .05  7.0   .02   .9   17.4  2.9  7.3  4.0  2.3   -8.0  3.2  8.6  4.3  5.4
  30 -67.5 324 144.58   .02  4.7   .03   .9   20.3  2.7  9.9  2.2 11.6   -6.9  4.4 11.9  2.1  2.4
  30 -67.5 315 144.58   .03  1.4   .10  2.2   22.1  1.3  1.9  3.3  3.4   -5.6  4.4 12.3  2.5  6.2
  30 -67.5 306 144.69   .12  2.2   .11  3.3   23.1  1.9  1.4  3.3  1.0   -4.8  1.6 16.7  4.5  4.0
  30 -67.5 297 144.80   .11  3.4   .08  4.1   24.3  1.0  3.2  2.8  5.4   -3.7   .3 18.8  2.5  7.8
  30 -67.5 288 144.85   .10  5.6   .14  3.3   24.1  3.1  3.7  5.0  1.7   -2.9  2.4 10.3  5.4  4.8
  30 -67.5 279 144.97   .10  5.7   .19  5.0   23.3  3.2  5.1  1.0  8.2   -1.2  2.4 12.2   .6   .6
  30 -67.5 270 144.99   .04 20.3   .16  4.6   22.2  3.3  5.3  3.0  3.2    -.8  1.3 12.8  3.9  5.6
  30 -67.5 261 145.03   .12 10.1   .14  4.9   20.3  2.9  7.3  2.9 11.3     .6  2.3  8.3  3.2  3.3
  30 -67.5 252 145.08   .12 12.2   .19  4.9   17.3   .5 10.1  1.9  4.9     .0  3.5 11.2  2.9  7.4
  30 -67.5 243 145.03   .11 17.3   .17  4.3   13.4  3.1  2.1  4.5   .5   -1.4  1.9 13.2  4.0  3.5
  30 -67.5 234 144.99   .07 20.6   .09  5.5   10.7  4.6  4.7  2.4  7.8   -4.3  1.4 11.1  2.2 10.8
  30 -67.5 225 144.88   .04  4.7   .01  8.9   10.5  4.8  6.9  3.3  2.0   -8.1  2.6 10.7  3.5  5.0
  30 -67.5 216 144.76   .02  4.6   .01  8.4   12.0  1.8  7.4  2.8  8.7  -10.1  3.6  9.7  2.7 11.6
  30 -67.5 207 144.60   .04 22.0   .01  9.1   13.4   .5 21.6  1.9  3.3   -9.8  2.6 14.6  1.8  6.2
  30 -67.5 198 144.54   .10   .3   .03 11.8   14.1  1.2  5.3  2.6 11.6   -9.7  2.1 19.8  2.4  2.9
  30 -67.5 189 144.68   .05  2.3   .05  1.5   14.3  2.6  6.0   .6  1.8   -9.8  3.5  9.7   .7  5.1
  30 -67.5 180 144.88   .03  3.1   .07  2.6   14.6  2.9  4.6  4.6  1.4   -9.4  4.1 12.7  4.5  4.1
  30 -67.5 171 144.88   .13  3.0   .07  3.8   15.0  3.5  5.2  1.3 10.8   -8.6   .8 14.5  2.5  2.4
  30 -67.5 162 144.97   .15  3.9   .09  3.2   15.6  2.1  7.0  2.9  2.3   -8.2  1.5  5.1  3.6  5.2
